date,country,indicator,value
2000,SGP,BX.KLT.DINV.WD.GD.ZS,16.1488904515269
2001,SGP,BX.KLT.DINV.WD.GD.ZS,18.9398606857353
2002,SGP,BX.KLT.DINV.WD.GD.ZS,6.65366588247055
2003,SGP,BX.KLT.DINV.WD.GD.ZS,17.4624153696896
2004,SGP,BX.KLT.DINV.WD.GD.ZS,21.2027237505542
2005,SGP,BX.KLT.DINV.WD.GD.ZS,15.1133588478775
2006,SGP,BX.KLT.DINV.WD.GD.ZS,26.3271523046735
2007,SGP,BX.KLT.DINV.WD.GD.ZS,26.1619888768056
2008,SGP,BX.KLT.DINV.WD.GD.ZS,7.02328608228286
2009,SGP,BX.KLT.DINV.WD.GD.ZS,12.0710944143275
2010,SGP,BX.KLT.DINV.WD.GD.ZS,23.0694716770802
2011,SGP,BX.KLT.DINV.WD.GD.ZS,17.5960314065854
2012,SGP,BX.KLT.DINV.WD.GD.ZS,18.7435244231802
2013,SGP,BX.KLT.DINV.WD.GD.ZS,20.9344810446532
2014,SGP,BX.KLT.DINV.WD.GD.ZS,21.8184880782679
2015,SGP,BX.KLT.DINV.WD.GD.ZS,22.6541826890491
2016,SGP,BX.KLT.DINV.WD.GD.ZS,20.3766287562495
2017,SGP,BX.KLT.DINV.WD.GD.ZS,29.6706336940046
2018,SGP,BX.KLT.DINV.WD.GD.ZS,22.8377290626019
2019,SGP,BX.KLT.DINV.WD.GD.ZS,28.2256543399099
2020,SGP,BX.KLT.DINV.WD.GD.ZS,22.7176808064108
2021,SGP,BX.KLT.DINV.WD.GD.ZS,32.5964610130302
2022,SGP,BX.KLT.DINV.WD.GD.ZS,28.3188156351916
2023,SGP,BX.KLT.DINV.WD.GD.ZS,24.8866145212528
2024,SGP,BX.KLT.DINV.WD.GD.ZS,24.676735941018
