date,variable,seriesNo,value
1984,Total (Based On GDP At Current Market Prices),1,8.3
1985,Total (Based On GDP At Current Market Prices),1,2.9
1986,Total (Based On GDP At Current Market Prices),1,4.6
1987,Total (Based On GDP At Current Market Prices),1,7.1
1988,Total (Based On GDP At Current Market Prices),1,10.6
1989,Total (Based On GDP At Current Market Prices),1,9.4
1990,Total (Based On GDP At Current Market Prices),1,9.8
1991,Total (Based On GDP At Current Market Prices),1,7.2
1992,Total (Based On GDP At Current Market Prices),1,4.7
1993,Total (Based On GDP At Current Market Prices),1,11.7
1994,Total (Based On GDP At Current Market Prices),1,10.0
1995,Total (Based On GDP At Current Market Prices),1,5.3
1996,Total (Based On GDP At Current Market Prices),1,2.7
1997,Total (Based On GDP At Current Market Prices),1,3.2
1998,Total (Based On GDP At Current Market Prices),1,-6.1
1999,Total (Based On GDP At Current Market Prices),1,2.4
2000,Total (Based On GDP At Current Market Prices),1,8.8
2001,Total (Based On GDP At Current Market Prices),1,-6.2
2002,Total (Based On GDP At Current Market Prices),1,4.5
2003,Total (Based On GDP At Current Market Prices),1,3.9
2004,Total (Based On GDP At Current Market Prices),1,12.4
2005,Total (Based On GDP At Current Market Prices),1,4.8
2006,Total (Based On GDP At Current Market Prices),1,4.1
2007,Total (Based On GDP At Current Market Prices),1,6.3
2008,Total (Based On GDP At Current Market Prices),1,-8.4
2009,Total (Based On GDP At Current Market Prices),1,0.3
2010,Total (Based On GDP At Current Market Prices),1,12.0
2011,Total (Based On GDP At Current Market Prices),1,3.7
2012,Total (Based On GDP At Current Market Prices),1,0.9
2013,Total (Based On GDP At Current Market Prices),1,0.3
2014,Total (Based On GDP At Current Market Prices),1,-0.1
2015,Total (Based On GDP At Current Market Prices),1,3.9
2016,Total (Based On GDP At Current Market Prices),1,3.6
2017,Total (Based On GDP At Current Market Prices),1,7.6
2018,Total (Based On GDP At Current Market Prices),1,6.3
2019,Total (Based On GDP At Current Market Prices),1,-0.8
2020,Total (Based On GDP At Current Market Prices),1,-3.7
2021,Total (Based On GDP At Current Market Prices),1,24.8
2022,Total (Based On GDP At Current Market Prices),1,14.2
2023,Total (Based On GDP At Current Market Prices),1,-7.7
2024,Total (Based On GDP At Current Market Prices),1,9.8
2025,Total (Based On GDP At Current Market Prices),1,1.6
1992,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,4.2
1993,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,13.3
1994,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,10.7
1995,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,6.5
1996,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,4.4
1997,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,5.0
1998,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,-5.7
1999,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,2.5
2000,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,9.3
2001,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,-6.9
2002,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,3.9
2003,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,3.1
2004,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,12.1
2005,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,4.6
2006,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,4.2
2007,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,6.4
2008,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,-8.6
2009,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,0.6
2010,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,12.9
2011,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,3.7
2012,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,1.4
2013,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,1.1
2014,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,-0.2
2015,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,3.8
2016,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,3.9
2017,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,7.3
2018,"Total (Based On GDP At Current Prices, Excluding Construction)",1.1,5.9
