date,variable,seriesNo,value
1980,Total Manufacturing,1,32479.0
1981,Total Manufacturing,1,37653.5
1982,Total Manufacturing,1,37351.3
1983,Total Manufacturing,1,38184.2
1984,Total Manufacturing,1,42063.0
1985,Total Manufacturing,1,39355.2
1986,Total Manufacturing,1,38227.2
1987,Total Manufacturing,1,47250.6
1988,Total Manufacturing,1,57846.0
1989,Total Manufacturing,1,65371.6
1990,Total Manufacturing,1,73309.5
1991,Total Manufacturing,1,76475.2
1992,Total Manufacturing,1,79156.1
1993,Total Manufacturing,1,89846.6
1994,Total Manufacturing,1,102860.7
1995,Total Manufacturing,1,115734.9
1996,Total Manufacturing,1,122289.5
1997,Total Manufacturing,1,129152.6
1998,Total Manufacturing,1,124435.1
1999,Total Manufacturing,1,136693.0
2000,Total Manufacturing,1,163334.7
2001,Total Manufacturing,1,138218.0
2002,Total Manufacturing,1,147256.4
2003,Total Manufacturing,1,158713.7
2004,Total Manufacturing,1,191685.8
2005,Total Manufacturing,1,217289.6
2006,Total Manufacturing,1,238236.4
2007,Total Manufacturing,1,253758.0
2008,Total Manufacturing,1,264045.9
2009,Total Manufacturing,1,226871.7
2010,Total Manufacturing,1,273481.6
2011,Total Manufacturing,1,294565.7
2012,Total Manufacturing,1,300608.0
2013,Total Manufacturing,1,298728.2
2014,Total Manufacturing,1,305796.2
2015,Total Manufacturing,1,283895.5
2016,Total Manufacturing,1,272797.5
2017,Total Manufacturing,1,321473.1
2018,Total Manufacturing,1,364280.1
2019,Total Manufacturing,1,337268.0
2020,Total Manufacturing,1,312980.1
2021,Total Manufacturing,1,394111.5
2022,Total Manufacturing,1,461714.4
2023,Total Manufacturing,1,410871.0
2024,Total Manufacturing,1,429583.8
1980,"Food, Beverage & Tobacco",1.10,2177.9
1981,"Food, Beverage & Tobacco",1.10,2312.8
1982,"Food, Beverage & Tobacco",1.10,2482.9
1983,"Food, Beverage & Tobacco",1.10,2580.0
1984,"Food, Beverage & Tobacco",1.10,2868.9
1985,"Food, Beverage & Tobacco",1.10,2941.4
1986,"Food, Beverage & Tobacco",1.10,2883.0
1987,"Food, Beverage & Tobacco",1.10,2584.0
1988,"Food, Beverage & Tobacco",1.10,2908.4
