date,country,indicator,value
2000,SGP,NV.SRV.TOTL.ZS,60.6645197437216
2001,SGP,NV.SRV.TOTL.ZS,63.593634234512
2002,SGP,NV.SRV.TOTL.ZS,63.9769556802401
2003,SGP,NV.SRV.TOTL.ZS,64.3487252076354
2004,SGP,NV.SRV.TOTL.ZS,63.0725751287076
2005,SGP,NV.SRV.TOTL.ZS,64.0731843759255
2006,SGP,NV.SRV.TOTL.ZS,64.8768540490551
2007,SGP,NV.SRV.TOTL.ZS,66.0401485014903
2008,SGP,NV.SRV.TOTL.ZS,68.3479617553522
2009,SGP,NV.SRV.TOTL.ZS,68.0060695233087
2010,SGP,NV.SRV.TOTL.ZS,67.8435170825381
2011,SGP,NV.SRV.TOTL.ZS,69.0231236262618
2012,SGP,NV.SRV.TOTL.ZS,69.2086270458185
2013,SGP,NV.SRV.TOTL.ZS,70.7623061587241
2014,SGP,NV.SRV.TOTL.ZS,70.3453257931675
2015,SGP,NV.SRV.TOTL.ZS,69.950933310914
2016,SGP,NV.SRV.TOTL.ZS,70.7460695193887
2017,SGP,NV.SRV.TOTL.ZS,70.3886178111457
2018,SGP,NV.SRV.TOTL.ZS,69.3585145719227
2019,SGP,NV.SRV.TOTL.ZS,70.8020783233725
2020,SGP,NV.SRV.TOTL.ZS,72.1026995251566
2021,SGP,NV.SRV.TOTL.ZS,70.1698277615445
2022,SGP,NV.SRV.TOTL.ZS,71.6014067935171
2023,SGP,NV.SRV.TOTL.ZS,72.6907302698223
2024,SGP,NV.SRV.TOTL.ZS,73.0290588610543
