date,country,indicator,value
2000,SGP,NE.TRD.GNFS.ZS,364.364520468218
2001,SGP,NE.TRD.GNFS.ZS,349.292105694978
2002,SGP,NE.TRD.GNFS.ZS,349.746013985676
2003,SGP,NE.TRD.GNFS.ZS,377.218564301581
2004,SGP,NE.TRD.GNFS.ZS,401.523712538509
2005,SGP,NE.TRD.GNFS.ZS,420.430512920559
2006,SGP,NE.TRD.GNFS.ZS,425.363399543019
2007,SGP,NE.TRD.GNFS.ZS,394.288471919078
2008,SGP,NE.TRD.GNFS.ZS,437.326714891057
2009,SGP,NE.TRD.GNFS.ZS,358.192811828842
2010,SGP,NE.TRD.GNFS.ZS,369.685555787646
2011,SGP,NE.TRD.GNFS.ZS,379.098631377539
2012,SGP,NE.TRD.GNFS.ZS,369.212965787665
2013,SGP,NE.TRD.GNFS.ZS,367.041780049019
2014,SGP,NE.TRD.GNFS.ZS,360.467319166237
2015,SGP,NE.TRD.GNFS.ZS,329.471398940262
2016,SGP,NE.TRD.GNFS.ZS,302.839656046574
2017,SGP,NE.TRD.GNFS.ZS,316.794409287568
2018,SGP,NE.TRD.GNFS.ZS,326.59658728675
2019,SGP,NE.TRD.GNFS.ZS,324.394985115301
2020,SGP,NE.TRD.GNFS.ZS,332.040805481913
2021,SGP,NE.TRD.GNFS.ZS,329.161383683762
2022,SGP,NE.TRD.GNFS.ZS,332.34956775484
2023,SGP,NE.TRD.GNFS.ZS,325.69322405378
2024,SGP,NE.TRD.GNFS.ZS,322.371427934716
