date,variable,seriesNo,value
2019-01-01,All Items,1,85.597
2019-01-01,Food,1.0,83.865
2019-01-01,Food Excl Food & Beverage Serving Services,1.01,84.724
2019-01-01,Rice & Cereal Products,1.01.1,84.237
2019-01-01,Meat,1.01.2,80.593
2019-01-01,Fish & Other Seafood,1.01.3,91.323
2019-01-01,"Milk, Other Dairy Products & Eggs",1.01.4,85.555
2019-01-01,Oils & Fats,1.01.5,85.318
2019-01-01,Fruits & Nuts,1.01.6,86.993
2019-01-01,Vegetables,1.01.7,81.497
2019-01-01,"Sugar, Confectionery & Desserts",1.01.8,87.527
2019-01-01,Ready-Made Food & Other Food Products Nec,1.01.9,86.395
2019-01-01,Non-Alcoholic Beverages,1.01.10,82.398
2019-01-01,Clothing & Footwear,1.02,106.718
2019-01-01,Clothing,1.02.1,108.086
2019-01-01,Footwear,1.02.2,103.281
2019-01-01,Housing & Utilities,1.03,87.734
2019-01-01,Accommodation,1.03.1,87.681
2019-01-01,Utilities & Other Fuels,1.03.2,88.805
2019-01-01,Household Durables & Services,1.04,93.412
2019-01-01,Furniture & Furnishings,1.04.1,90.665
2019-01-01,Household Textiles,1.04.2,100.155
2019-01-01,Household Appliances,1.04.3,96.346
2019-01-01,"Glassware, Tableware & Household Utensils",1.04.4,96.356
2019-01-01,Tools & Equipment For House & Garden,1.04.5,85.66
2019-01-01,Household Services & Supplies,1.04.6,93.185
2019-01-01,Health,1.05,90.576
2019-01-01,Medicines & Health Products,1.05.1,98.278
2019-01-01,Outpatient Care Services,1.05.2,92.035
2019-01-01,Inpatient Care Services,1.05.3,86.348
2019-01-01,Other Health Services,1.05.4,85.617
2019-01-01,Health Insurance,1.05.5,86.02
2019-01-01,Transport,1.06,72.713
2019-01-01,Private Transport,1.06.1,68.411
2019-01-01,Land Transport Services,1.06.2,80.83
2019-01-01,Other Transport Services,1.06.3,93.659
2019-01-01,Transport Services Of Goods,1.06.4,90.979
2019-01-01,Information & Communication,1.07,97.712
2019-01-01,Information & Communication Equipment,1.07.1,103.5
2019-01-01,Software Excl Games,1.07.2,103.031
2019-01-01,Information & Communication Services,1.07.3,96.69
2019-01-01,"Recreation, Sport & Culture",1.08,85.947
2019-01-01,Recreation & Cultural Goods,1.08.1,96.825
2019-01-01,Other Recreational Goods,1.08.2,100.443
2019-01-01,Garden Products & Pets,1.08.3,86.468
2019-01-01,Recreational Services,1.08.4,82.882
2019-01-01,Cultural Services,1.08.5,87.751
2019-01-01,"Newspapers, Books & Stationery",1.08.6,96.531
2019-01-01,Holiday Expenses,1.08.7,84.493
2019-01-01,Education,1.09,91.113
2019-01-01,"General, Vocational & Higher Education",1.09.1,95.983
2019-01-01,Private Tuition & Other Educational Courses,1.09.2,80.878
2019-01-01,School Textbooks & Study Guides,1.09.3,95.727
2019-01-01,Miscellaneous Goods & Services,1.10,96.935
2019-01-01,Personal Care,1.10.1,95.392
2019-01-01,Alcoholic Beverages & Tobacco,1.10.2,88.64
2019-01-01,Other Personal Effects,1.10.3,101.616
2019-01-01,Social Services,1.10.4,105.862
2019-01-01,Other Miscellaneous Services,1.10.5,103.61
2019-01-01,Food & Beverage Serving Services,1.11,83.371
2019-01-01,"Restaurants, Cafes & Pubs",1.11.1,83.487
2019-01-01,Fast Food Restaurants,1.11.2,82.006
2019-01-01,"Hawker Centres, And Food Courts, Coffee Shops & Kiosks",1.11.3,83.491
2019-01-01,"Other Catering Services, Incl Vending Machines",1.11.4,84.035
2019-01-01,All Items Less Accommodation,2,85.042
2019-01-01,All Items Less Imputed Rentals For Housing,3,85.309
2019-02-01,All Items,1,85.783
2019-02-01,Food,1.0,83.989
2019-02-01,Food Excl Food & Beverage Serving Services,1.01,85.069
2019-02-01,Rice & Cereal Products,1.01.1,84.241
2019-02-01,Meat,1.01.2,80.46
2019-02-01,Fish & Other Seafood,1.01.3,91.494
2019-02-01,"Milk, Other Dairy Products & Eggs",1.01.4,86.151
2019-02-01,Oils & Fats,1.01.5,85.88
2019-02-01,Fruits & Nuts,1.01.6,87.541
2019-02-01,Vegetables,1.01.7,82.525
2019-02-01,"Sugar, Confectionery & Desserts",1.01.8,88.016
2019-02-01,Ready-Made Food & Other Food Products Nec,1.01.9,86.041
2019-02-01,Non-Alcoholic Beverages,1.01.10,81.833
2019-02-01,Clothing & Footwear,1.02,105.911
2019-02-01,Clothing,1.02.1,106.231
2019-02-01,Footwear,1.02.2,104.005
2019-02-01,Housing & Utilities,1.03,87.492
2019-02-01,Accommodation,1.03.1,87.323
2019-02-01,Utilities & Other Fuels,1.03.2,88.413
2019-02-01,Household Durables & Services,1.04,93.668
2019-02-01,Furniture & Furnishings,1.04.1,91.27
2019-02-01,Household Textiles,1.04.2,101.873
2019-02-01,Household Appliances,1.04.3,95.961
2019-02-01,"Glassware, Tableware & Household Utensils",1.04.4,98.438
2019-02-01,Tools & Equipment For House & Garden,1.04.5,85.488
2019-02-01,Household Services & Supplies,1.04.6,93.361
2019-02-01,Health,1.05,90.65
2019-02-01,Medicines & Health Products,1.05.1,98.705
2019-02-01,Outpatient Care Services,1.05.2,92.124
2019-02-01,Inpatient Care Services,1.05.3,86.465
2019-02-01,Other Health Services,1.05.4,85.955
2019-02-01,Health Insurance,1.05.5,85.976
2019-02-01,Transport,1.06,73.131
2019-02-01,Private Transport,1.06.1,68.795
2019-02-01,Land Transport Services,1.06.2,80.805
2019-02-01,Other Transport Services,1.06.3,94.108
2019-02-01,Transport Services Of Goods,1.06.4,90.979
2019-02-01,Information & Communication,1.07,98.235
2019-02-01,Information & Communication Equipment,1.07.1,104.684
2019-02-01,Software Excl Games,1.07.2,103.031
2019-02-01,Information & Communication Services,1.07.3,97.009
2019-02-01,"Recreation, Sport & Culture",1.08,86.942
2019-02-01,Recreation & Cultural Goods,1.08.1,97.413
2019-02-01,Other Recreational Goods,1.08.2,100.546
2019-02-01,Garden Products & Pets,1.08.3,86.11
2019-02-01,Recreational Services,1.08.4,82.855
2019-02-01,Cultural Services,1.08.5,87.751
2019-02-01,"Newspapers, Books & Stationery",1.08.6,96.522
2019-02-01,Holiday Expenses,1.08.7,86.018
2019-02-01,Education,1.09,91.138
2019-02-01,"General, Vocational & Higher Education",1.09.1,96.06
2019-02-01,Private Tuition & Other Educational Courses,1.09.2,80.951
2019-02-01,School Textbooks & Study Guides,1.09.3,95.727
2019-02-01,Miscellaneous Goods & Services,1.10,96.686
2019-02-01,Personal Care,1.10.1,95.129
2019-02-01,Alcoholic Beverages & Tobacco,1.10.2,88.668
2019-02-01,Other Personal Effects,1.10.3,101.571
2019-02-01,Social Services,1.10.4,105.862
2019-02-01,Other Miscellaneous Services,1.10.5,103.622
2019-02-01,Food & Beverage Serving Services,1.11,83.528
2019-02-01,"Restaurants, Cafes & Pubs",1.11.1,83.619
2019-02-01,Fast Food Restaurants,1.11.2,82.321
2019-02-01,"Hawker Centres, And Food Courts, Coffee Shops & Kiosks",1.11.3,83.577
2019-02-01,"Other Catering Services, Incl Vending Machines",1.11.4,84.645
2019-02-01,All Items Less Accommodation,2,85.335
2019-02-01,All Items Less Imputed Rentals For Housing,3,85.587
2019-03-01,All Items,1,85.775
2019-03-01,Food,1.0,84.161
2019-03-01,Food Excl Food & Beverage Serving Services,1.01,85.328
2019-03-01,Rice & Cereal Products,1.01.1,83.988
2019-03-01,Meat,1.01.2,80.858
2019-03-01,Fish & Other Seafood,1.01.3,92.024
2019-03-01,"Milk, Other Dairy Products & Eggs",1.01.4,84.972
2019-03-01,Oils & Fats,1.01.5,86.297
2019-03-01,Fruits & Nuts,1.01.6,88.572
2019-03-01,Vegetables,1.01.7,82.151
2019-03-01,"Sugar, Confectionery & Desserts",1.01.8,88.527
2019-03-01,Ready-Made Food & Other Food Products Nec,1.01.9,87.153
2019-03-01,Non-Alcoholic Beverages,1.01.10,83.618
2019-03-01,Clothing & Footwear,1.02,105.069
2019-03-01,Clothing,1.02.1,105.694
2019-03-01,Footwear,1.02.2,102.935
2019-03-01,Housing & Utilities,1.03,87.382
2019-03-01,Accommodation,1.03.1,87.319
2019-03-01,Utilities & Other Fuels,1.03.2,87.506
2019-03-01,Household Durables & Services,1.04,93.673
2019-03-01,Furniture & Furnishings,1.04.1,90.723
2019-03-01,Household Textiles,1.04.2,101.427
2019-03-01,Household Appliances,1.04.3,96.845
2019-03-01,"Glassware, Tableware & Household Utensils",1.04.4,97.555
2019-03-01,Tools & Equipment For House & Garden,1.04.5,85.049
2019-03-01,Household Services & Supplies,1.04.6,93.371
2019-03-01,Health,1.05,90.722
2019-03-01,Medicines & Health Products,1.05.1,98.086
2019-03-01,Outpatient Care Services,1.05.2,92.163
2019-03-01,Inpatient Care Services,1.05.3,86.621
2019-03-01,Other Health Services,1.05.4,86.023
2019-03-01,Health Insurance,1.05.5,85.882
2019-03-01,Transport,1.06,73.333
2019-03-01,Private Transport,1.06.1,69.594
2019-03-01,Land Transport Services,1.06.2,81.17
2019-03-01,Other Transport Services,1.06.3,92.353
2019-03-01,Transport Services Of Goods,1.06.4,90.979
2019-03-01,Information & Communication,1.07,98.286
2019-03-01,Information & Communication Equipment,1.07.1,105.213
