date,variable,seriesNo,value
2019-01-01,Total,1,133256.7
2019-01-01,Asia,1.1,30160.8
2019-01-01,Brunei Darussalam,1.1.1,9.3
2019-01-01,Mainland China,1.1.2,4604.7
2019-01-01,Hong Kong,1.1.3,6546.6
2019-01-01,India,1.1.4,2244.7
2019-01-01,Indonesia,1.1.5,-296.9
2019-01-01,Israel,1.1.6,86.0
2019-01-01,Japan,1.1.7,8850.5
2019-01-01,Republic Of Korea,1.1.8,3120.7
2019-01-01,Malaysia,1.1.9,1544.1
2019-01-01,Myanmar,1.1.10,-45.8
2019-01-01,Philippines,1.1.11,-2.4
2019-01-01,Taiwan,1.1.12,1507.7
2019-01-01,Thailand,1.1.13,1242.3
2019-01-01,Viet Nam,1.1.14,-15.1
2019-01-01,Europe,1.2,12946.6
2019-01-01,Austria,1.2.1,457.6
2019-01-01,Belgium,1.2.2,307.7
2019-01-01,Denmark,1.2.3,689.7
2019-01-01,Finland,1.2.4,1394.6
2019-01-01,France,1.2.5,1431.9
2019-01-01,Germany,1.2.6,-1286.5
2019-01-01,Ireland,1.2.7,5012.5
2019-01-01,Luxembourg,1.2.8,-3200.9
2019-01-01,Netherlands,1.2.9,-7524.8
2019-01-01,Norway,1.2.10,1490.3
2019-01-01,Switzerland,1.2.11,3620.0
2019-01-01,United Kingdom,1.2.12,6268.2
2019-01-01,North America,1.3,68016.5
2019-01-01,United States Of America,1.3.1,62719.6
2019-01-01,Canada,1.3.2,5299.2
2019-01-01,Oceania,1.4,516.6
2019-01-01,Australia,1.4.1,62.4
2019-01-01,New Zealand,1.4.2,103.0
2019-01-01,South And Central America And The Caribbean,1.5,22488.3
2019-01-01,Africa,1.6,-958.5
2019-01-01,ASEAN,1.7,2533.6
2019-01-01,European Union (EU-27),1.8,-2709.6
2019-01-01,Equity Capital,2,129415.0
2019-01-01,Asia,2.1,18413.9
2019-01-01,Brunei Darussalam,2.1.1,-8.1
2019-01-01,Mainland China,2.1.2,3046.6
2019-01-01,Hong Kong,2.1.3,3101.0
2019-01-01,India,2.1.4,1631.8
2019-01-01,Indonesia,2.1.5,80.4
2019-01-01,Japan,2.1.7,5541.4
2019-01-01,Republic Of Korea,2.1.8,1499.0
2019-01-01,Malaysia,2.1.9,1235.7
2019-01-01,Myanmar,2.1.10,-43.4
2019-01-01,Philippines,2.1.11,-95.6
2019-01-01,Taiwan,2.1.12,576.4
2019-01-01,Thailand,2.1.13,1113.9
2019-01-01,Viet Nam,2.1.14,9.0
2019-01-01,Europe,2.2,13819.4
2019-01-01,Austria,2.2.1,60.5
2019-01-01,Belgium,2.2.2,765.9
2019-01-01,Denmark,2.2.3,13.4
2019-01-01,Finland,2.2.4,-0.2
2019-01-01,France,2.2.5,-125.8
2019-01-01,Germany,2.2.6,-765.0
2019-01-01,Ireland,2.2.7,3956.4
2019-01-01,Luxembourg,2.2.8,-902.0
2019-01-01,Netherlands,2.2.9,-371.6
2019-01-01,Norway,2.2.10,1840.8
2019-01-01,Switzerland,2.2.11,2293.0
2019-01-01,United Kingdom,2.2.12,5800.4
2019-01-01,North America,2.3,76804.8
2019-01-01,United States Of America,2.3.1,65399.0
2019-01-01,Canada,2.3.2,11406.3
2019-01-01,Oceania,2.4,-817.4
2019-01-01,Australia,2.4.1,-881.9
2019-01-01,New Zealand,2.4.2,2.1
2019-01-01,South And Central America And The Caribbean,2.5,21429.1
2019-01-01,Africa,2.6,-367.9
2019-01-01,ASEAN,2.7,2391.8
2019-01-01,European Union (EU-27),2.8,2385.5
2019-01-01,Net Inter-Company Lending,3,-7750.3
2019-01-01,Asia,3.1,896.3
2019-01-01,Brunei Darussalam,3.1.1,-6.6
2019-01-01,Mainland China,3.1.2,241.8
2019-01-01,Hong Kong,3.1.3,72.9
2019-01-01,India,3.1.4,-1.1
2019-01-01,Indonesia,3.1.5,-11.4
2019-01-01,Japan,3.1.7,458.7
2019-01-01,Republic Of Korea,3.1.8,-9.0
2019-01-01,Malaysia,3.1.9,46.7
2019-01-01,Myanmar,3.1.10,6.8
2019-01-01,Philippines,3.1.11,52.9
2019-01-01,Taiwan,3.1.12,-6.5
2019-01-01,Thailand,3.1.13,66.8
2019-01-01,Viet Nam,3.1.14,1.0
2019-01-01,Europe,3.2,-13660.1
2019-01-01,Austria,3.2.1,17.6
2019-01-01,Belgium,3.2.2,-784.5
2019-01-01,Denmark,3.2.3,-63.2
2019-01-01,Finland,3.2.4,-7.5
2019-01-01,France,3.2.5,1292.1
2019-01-01,Germany,3.2.6,-81.2
2019-01-01,Ireland,3.2.7,-380.8
2019-01-01,Luxembourg,3.2.8,1449.0
2019-01-01,Netherlands,3.2.9,-14935.1
2019-01-01,Norway,3.2.10,-12.4
2019-01-01,Switzerland,3.2.11,-647.4
2019-01-01,United Kingdom,3.2.12,771.5
2019-01-01,North America,3.3,2199.8
2019-01-01,United States Of America,3.3.1,1529.5
2019-01-01,Canada,3.3.2,670.3
2019-01-01,Oceania,3.4,-198.6
2019-01-01,Australia,3.4.1,-64.2
2019-01-01,New Zealand,3.4.2,-48.8
2019-01-01,South And Central America And The Caribbean,3.5,3231.3
2019-01-01,Africa,3.6,-351.6
2019-01-01,ASEAN,3.7,156.5
2019-01-01,European Union (EU-27),3.8,-13568.8
2019-01-01,Retained Earnings,4,11592.0
2019-01-01,Asia,4.1,10850.6
2019-01-01,Brunei Darussalam,4.1.1,24.0
2019-01-01,Mainland China,4.1.2,1316.3
2019-01-01,Hong Kong,4.1.3,3372.8
2019-01-01,India,4.1.4,613.9
2019-01-01,Indonesia,4.1.5,-365.8
2019-01-01,Japan,4.1.7,2850.4
2019-01-01,Republic Of Korea,4.1.8,1630.7
2019-01-01,Malaysia,4.1.9,261.8
2019-01-01,Myanmar,4.1.10,-9.1
2019-01-01,Philippines,4.1.11,40.3
2019-01-01,Taiwan,4.1.12,937.7
2019-01-01,Thailand,4.1.13,61.6
2019-01-01,Viet Nam,4.1.14,-25.2
2019-01-01,Europe,4.2,12787.4
2019-01-01,Austria,4.2.1,379.5
2019-01-01,Belgium,4.2.2,326.3
2019-01-01,Denmark,4.2.3,739.5
2019-01-01,Finland,4.2.4,1402.3
2019-01-01,France,4.2.5,265.6
2019-01-01,Germany,4.2.6,-440.2
2019-01-01,Ireland,4.2.7,1436.8
2019-01-01,Luxembourg,4.2.8,-3747.9
2019-01-01,Netherlands,4.2.9,7782.0
2019-01-01,Norway,4.2.10,-338.1
2019-01-01,Switzerland,4.2.11,1974.4
