date,variable,seriesNo,value
2019-01-01,Total,1,133256.7
2019-01-01,Asia,1.1,30160.8
2019-01-01,Brunei Darussalam,1.1.1,9.3
2019-01-01,Mainland China,1.1.2,4604.7
2019-01-01,Hong Kong,1.1.3,6546.6
2019-01-01,India,1.1.4,2244.7
2019-01-01,Indonesia,1.1.5,-296.9
2019-01-01,Israel,1.1.6,86.0
2019-01-01,Japan,1.1.7,8850.5
2019-01-01,Republic Of Korea,1.1.8,3120.7
2019-01-01,Malaysia,1.1.9,1544.1
2019-01-01,Myanmar,1.1.10,-45.8
2019-01-01,Philippines,1.1.11,-2.4
2019-01-01,Taiwan,1.1.12,1507.7
2019-01-01,Thailand,1.1.13,1242.3
2019-01-01,Viet Nam,1.1.14,-15.1
2019-01-01,Europe,1.2,12946.6
2019-01-01,France,1.2.1,1431.9
2019-01-01,Germany,1.2.2,-1286.5
2019-01-01,Luxembourg,1.2.3,-3200.9
2019-01-01,Netherlands,1.2.4,-7524.8
2019-01-01,Norway,1.2.5,1490.3
2019-01-01,Switzerland,1.2.6,3620.0
2019-01-01,United Kingdom,1.2.7,6268.2
2019-01-01,North America,1.3,68016.5
2019-01-01,United States Of America,1.3.1,62719.6
2019-01-01,Canada,1.3.2,5299.2
2019-01-01,Oceania,1.4,516.6
2019-01-01,Australia,1.4.1,62.4
2019-01-01,New Zealand,1.4.2,103.0
2019-01-01,South And Central America And The Caribbean,1.5,22488.3
2019-01-01,Africa,1.6,-958.5
2019-01-01,ASEAN,1.7,2533.6
2019-01-01,European Union (EU-27),1.8,-2709.6
2019-01-01,Manufacturing,2,22166.2
2019-01-01,Asia,2.1,2288.2
2019-01-01,Mainland China,2.1.2,-26.2
2019-01-01,Hong Kong,2.1.3,186.0
2019-01-01,India,2.1.4,-49.8
2019-01-01,Indonesia,2.1.5,83.9
2019-01-01,Israel,2.1.6,1.1
2019-01-01,Japan,2.1.7,1852.0
2019-01-01,Republic Of Korea,2.1.8,99.1
2019-01-01,Malaysia,2.1.9,-482.8
2019-01-01,Myanmar,2.1.10,0.5
2019-01-01,Philippines,2.1.11,100.3
2019-01-01,Taiwan,2.1.12,562.7
2019-01-01,Thailand,2.1.13,-7.7
2019-01-01,Europe,2.2,2840.0
2019-01-01,France,2.2.1,34.6
2019-01-01,Germany,2.2.2,172.9
2019-01-01,Luxembourg,2.2.3,-2982.5
2019-01-01,Netherlands,2.2.4,504.3
2019-01-01,Norway,2.2.5,-289.7
2019-01-01,Switzerland,2.2.6,1676.4
2019-01-01,United Kingdom,2.2.7,1933.2
2019-01-01,North America,2.3,10968.8
2019-01-01,United States Of America,2.3.1,10869.9
2019-01-01,Canada,2.3.2,99.0
2019-01-01,Oceania,2.4,-1288.5
2019-01-01,Australia,2.4.1,-1388.4
2019-01-01,New Zealand,2.4.2,-23.8
2019-01-01,South And Central America And The Caribbean,2.5,7470.6
2019-01-01,ASEAN,2.7,-309.8
2019-01-01,European Union (EU-27),2.8,-743.0
2019-01-01,Construction,3,24.3
2019-01-01,Asia,3.1,-7.0
2019-01-01,Mainland China,3.1.2,22.3
2019-01-01,Hong Kong,3.1.3,34.7
2019-01-01,India,3.1.4,15.3
2019-01-01,Indonesia,3.1.5,5.9
2019-01-01,Japan,3.1.7,-213.5
2019-01-01,Republic Of Korea,3.1.8,49.5
2019-01-01,Malaysia,3.1.9,106.4
2019-01-01,Taiwan,3.1.12,-25.9
2019-01-01,Thailand,3.1.13,2.3
2019-01-01,Viet Nam,3.1.14,-3.9
2019-01-01,Europe,3.2,67.0
2019-01-01,France,3.2.1,68.7
2019-01-01,Germany,3.2.2,-13.5
2019-01-01,Netherlands,3.2.4,44.6
2019-01-01,Switzerland,3.2.6,-5.6
2019-01-01,United States Of America,3.3.1,44.9
2019-01-01,Oceania,3.4,-39.7
2019-01-01,Australia,3.4.1,-41.4
2019-01-01,New Zealand,3.4.2,3.9
2019-01-01,South And Central America And The Caribbean,3.5,-42.1
2019-01-01,ASEAN,3.7,113.3
2019-01-01,European Union (EU-27),3.8,75.5
2019-01-01,Wholesale & Retail Trade,4,19939.1
2019-01-01,Asia,4.1,9189.9
2019-01-01,Brunei Darussalam,4.1.1,-3.9
2019-01-01,Mainland China,4.1.2,658.2
2019-01-01,Hong Kong,4.1.3,2792.4
2019-01-01,India,4.1.4,459.4
2019-01-01,Indonesia,4.1.5,-48.6
2019-01-01,Israel,4.1.6,1.3
2019-01-01,Japan,4.1.7,2520.3
2019-01-01,Republic Of Korea,4.1.8,1824.4
2019-01-01,Malaysia,4.1.9,22.4
2019-01-01,Myanmar,4.1.10,1.9
2019-01-01,Philippines,4.1.11,6.0
2019-01-01,Taiwan,4.1.12,855.1
2019-01-01,Thailand,4.1.13,74.8
2019-01-01,Viet Nam,4.1.14,-8.2
2019-01-01,Europe,4.2,12895.6
2019-01-01,France,4.2.1,502.8
2019-01-01,Germany,4.2.2,250.9
2019-01-01,Luxembourg,4.2.3,184.8
2019-01-01,Netherlands,4.2.4,4160.9
2019-01-01,Norway,4.2.5,186.1
2019-01-01,Switzerland,4.2.6,940.2
2019-01-01,United Kingdom,4.2.7,2263.6
2019-01-01,North America,4.3,309.9
2019-01-01,United States Of America,4.3.1,208.7
2019-01-01,Canada,4.3.2,102.9
2019-01-01,Oceania,4.4,311.7
2019-01-01,Australia,4.4.1,301.8
2019-01-01,New Zealand,4.4.2,40.0
2019-01-01,South And Central America And The Caribbean,4.5,-2644.5
2019-01-01,Africa,4.6,-109.3
2019-01-01,ASEAN,4.7,50.9
2019-01-01,European Union (EU-27),4.8,8719.5
2019-01-01,Accommodation & Food Services,5,1713.7
2019-01-01,Asia,5.1,-55.2
2019-01-01,Mainland China,5.1.2,-20.5
2019-01-01,Hong Kong,5.1.3,33.1
2019-01-01,India,5.1.4,-48.9
2019-01-01,Indonesia,5.1.5,-1.4
2019-01-01,Israel,5.1.6,0.1
2019-01-01,Japan,5.1.7,-33.7
2019-01-01,Malaysia,5.1.9,-7.9
2019-01-01,Taiwan,5.1.12,4.9
2019-01-01,Thailand,5.1.13,-4.3
2019-01-01,Viet Nam,5.1.14,0.2
2019-01-01,Europe,5.2,1673.9
2019-01-01,Germany,5.2.2,-1.3
2019-01-01,Luxembourg,5.2.3,-44.3
2019-01-01,Switzerland,5.2.6,-3.5
2019-01-01,North America,5.3,81.8
2019-01-01,United States Of America,5.3.1,81.5
2019-01-01,Canada,5.3.2,0.3
2019-01-01,Oceania,5.4,9.7
2019-01-01,Australia,5.4.1,4.9
