date,variable,seriesNo,value
2019-01-01,Total,1,79.071
2019-01-01,"Food, Beverage & Tobacco",1.1,112.109
2019-01-01,Wood And Of Products Of Wood And Cork,1.16,75.962
2019-01-01,Paper & Paper Products,1.17,323.933
2019-01-01,Printing And Reproduction Of Recorded Media,1.18,147.055
2019-01-01,Refined Petroleum Products,1.19,119.587
2019-01-01,Chemicals & Chemical Products,1.20,114.731
2019-01-01,Pharmaceuticals And Biological Products,1.21,92.846
2019-01-01,Rubber & Plastic Products,1.22,96.703
2019-01-01,Non-Metallic Mineral Products,1.23,107.896
2019-01-01,Basic Metals,1.24,81.798
2019-01-01,Fabricated Metal Products,1.25,110.042
2019-01-01,"Computer, Electronic & Optical Products",1.26,76.577
2019-01-01,Electrical Equipment,1.27,95.48
2019-01-01,Machinery & Equipment,1.28,60.136
2019-01-01,"Motor Vehicles, Trailers And Semi-Trailers",1.29,118.953
2019-01-01,Other Transport Equipment,1.30,56.272
2019-01-01,Furniture,1.31,94.921
2019-02-01,Total,1,65.508
2019-02-01,"Food, Beverage & Tobacco",1.1,89.233
2019-02-01,Wood And Of Products Of Wood And Cork,1.16,51.172
2019-02-01,Paper & Paper Products,1.17,269.767
2019-02-01,Printing And Reproduction Of Recorded Media,1.18,114.249
2019-02-01,Refined Petroleum Products,1.19,99.322
2019-02-01,Chemicals & Chemical Products,1.20,101.457
2019-02-01,Pharmaceuticals And Biological Products,1.21,77.795
2019-02-01,Rubber & Plastic Products,1.22,77.907
2019-02-01,Non-Metallic Mineral Products,1.23,73.908
2019-02-01,Basic Metals,1.24,81.006
2019-02-01,Fabricated Metal Products,1.25,86.283
2019-02-01,"Computer, Electronic & Optical Products",1.26,64.72
2019-02-01,Electrical Equipment,1.27,74.766
2019-02-01,Machinery & Equipment,1.28,39.526
2019-02-01,"Motor Vehicles, Trailers And Semi-Trailers",1.29,101.011
2019-02-01,Other Transport Equipment,1.30,51.776
2019-02-01,Furniture,1.31,63.369
2019-03-01,Total,1,71.617
2019-03-01,"Food, Beverage & Tobacco",1.1,118.715
2019-03-01,Wood And Of Products Of Wood And Cork,1.16,79.932
2019-03-01,Paper & Paper Products,1.17,336.755
2019-03-01,Printing And Reproduction Of Recorded Media,1.18,137.385
2019-03-01,Refined Petroleum Products,1.19,80.555
2019-03-01,Chemicals & Chemical Products,1.20,112.263
2019-03-01,Pharmaceuticals And Biological Products,1.21,93.388
2019-03-01,Rubber & Plastic Products,1.22,95.241
2019-03-01,Non-Metallic Mineral Products,1.23,98.094
2019-03-01,Basic Metals,1.24,102.917
2019-03-01,Fabricated Metal Products,1.25,116.432
2019-03-01,"Computer, Electronic & Optical Products",1.26,58.96
2019-03-01,Electrical Equipment,1.27,125.078
2019-03-01,Machinery & Equipment,1.28,68.317
2019-03-01,"Motor Vehicles, Trailers And Semi-Trailers",1.29,114.747
2019-03-01,Other Transport Equipment,1.30,57.913
2019-03-01,Furniture,1.31,76.809
2019-04-01,Total,1,77.744
2019-04-01,"Food, Beverage & Tobacco",1.1,104.482
2019-04-01,Wood And Of Products Of Wood And Cork,1.16,75.892
2019-04-01,Paper & Paper Products,1.17,330.985
2019-04-01,Printing And Reproduction Of Recorded Media,1.18,140.499
2019-04-01,Refined Petroleum Products,1.19,100.526
2019-04-01,Chemicals & Chemical Products,1.20,109.056
2019-04-01,Pharmaceuticals And Biological Products,1.21,89.942
2019-04-01,Rubber & Plastic Products,1.22,88.806
2019-04-01,Non-Metallic Mineral Products,1.23,90.703
2019-04-01,Basic Metals,1.24,87.886
2019-04-01,Fabricated Metal Products,1.25,107.131
2019-04-01,"Computer, Electronic & Optical Products",1.26,75.596
2019-04-01,Electrical Equipment,1.27,82.904
2019-04-01,Machinery & Equipment,1.28,66.541
2019-04-01,"Motor Vehicles, Trailers And Semi-Trailers",1.29,113.135
2019-04-01,Other Transport Equipment,1.30,57.779
2019-04-01,Furniture,1.31,73.763
2019-05-01,Total,1,71.457
2019-05-01,"Food, Beverage & Tobacco",1.1,106.879
2019-05-01,Wood And Of Products Of Wood And Cork,1.16,72.821
2019-05-01,Paper & Paper Products,1.17,319.737
2019-05-01,Printing And Reproduction Of Recorded Media,1.18,142.206
2019-05-01,Refined Petroleum Products,1.19,115.367
2019-05-01,Chemicals & Chemical Products,1.20,113.158
2019-05-01,Pharmaceuticals And Biological Products,1.21,100.839
2019-05-01,Rubber & Plastic Products,1.22,94.991
2019-05-01,Non-Metallic Mineral Products,1.23,91.096
2019-05-01,Basic Metals,1.24,71.777
2019-05-01,Fabricated Metal Products,1.25,106.593
2019-05-01,"Computer, Electronic & Optical Products",1.26,61.392
2019-05-01,Electrical Equipment,1.27,87.131
2019-05-01,Machinery & Equipment,1.28,56.86
2019-05-01,"Motor Vehicles, Trailers And Semi-Trailers",1.29,111.407
2019-05-01,Other Transport Equipment,1.30,57.154
2019-05-01,Furniture,1.31,88.113
2019-06-01,Total,1,77.751
2019-06-01,"Food, Beverage & Tobacco",1.1,100.918
2019-06-01,Wood And Of Products Of Wood And Cork,1.16,69.562
2019-06-01,Paper & Paper Products,1.17,306.902
