date,variable,seriesNo,value
2019-01-01,Total Electronic Products,1,3463503.1
2019-01-01,Disk Drives,1.1,50460.4
2019-01-01,PCB Assembled,1.2,232072.8
2019-01-01,Integrated Circuits,1.3,1903898.0
2019-01-01,Personal Computers,1.4,306067.2
2019-01-01,Telecommunications Equipment,1.6,198626.1
2019-01-01,Consumer Electronics,1.7,44965.9
2019-01-01,Parts Of Integrated Circuits,1.8,49649.5
2019-01-01,Diodes And Transistors,1.9,204987.1
2019-01-01,Non-Electronic Products,2,10364841.0
2019-01-01,Specialised Machinery,2.0,783458.0
2019-01-01,Total Chemicals,2.1,4445326.0
2019-01-01,Pharmaceuticals,2.1.1,1718065.0
2019-01-01,Petrochemicals,2.1.2,1345900.0
2019-01-01,Electrical Circuit Apparatus,2.2,174899.9
2019-01-01,Electrical Machinery & Apparatus Nes,2.3,263259.8
2019-02-01,Total Electronic Products,1,3010978.5
2019-02-01,Disk Drives,1.1,37075.7
2019-02-01,PCB Assembled,1.2,198425.3
2019-02-01,Integrated Circuits,1.3,1796867.6
2019-02-01,Personal Computers,1.4,208442.1
2019-02-01,Telecommunications Equipment,1.6,160481.6
2019-02-01,Consumer Electronics,1.7,34806.4
2019-02-01,Parts Of Integrated Circuits,1.8,34417.1
2019-02-01,Diodes And Transistors,1.9,147863.3
2019-02-01,Non-Electronic Products,2,10160990.0
2019-02-01,Specialised Machinery,2.0,571901.0
2019-02-01,Total Chemicals,2.1,3863730.0
2019-02-01,Pharmaceuticals,2.1.1,1365029.0
2019-02-01,Petrochemicals,2.1.2,1262328.0
2019-02-01,Electrical Circuit Apparatus,2.2,126420.0
2019-02-01,Electrical Machinery & Apparatus Nes,2.3,194751.3
2019-03-01,Total Electronic Products,1,2710098.0
2019-03-01,Disk Drives,1.1,42457.8
2019-03-01,PCB Assembled,1.2,224357.5
2019-03-01,Integrated Circuits,1.3,1354654.3
2019-03-01,Personal Computers,1.4,231448.0
2019-03-01,Telecommunications Equipment,1.6,184864.6
2019-03-01,Consumer Electronics,1.7,51036.0
2019-03-01,Parts Of Integrated Circuits,1.8,37454.2
2019-03-01,Diodes And Transistors,1.9,188216.1
2019-03-01,Non-Electronic Products,2,10943564.0
2019-03-01,Specialised Machinery,2.0,953553.0
2019-03-01,Total Chemicals,2.1,3872767.0
2019-03-01,Pharmaceuticals,2.1.1,1051429.0
2019-03-01,Petrochemicals,2.1.2,1358946.0
2019-03-01,Electrical Circuit Apparatus,2.2,166566.0
2019-03-01,Electrical Machinery & Apparatus Nes,2.3,258411.8
2019-04-01,Total Electronic Products,1,3124677.5
2019-04-01,Disk Drives,1.1,64551.7
2019-04-01,PCB Assembled,1.2,212954.8
2019-04-01,Integrated Circuits,1.3,1455467.3
2019-04-01,Personal Computers,1.4,464495.4
2019-04-01,Telecommunications Equipment,1.6,189029.5
2019-04-01,Consumer Electronics,1.7,46671.2
2019-04-01,Parts Of Integrated Circuits,1.8,45492.1
2019-04-01,Diodes And Transistors,1.9,188274.2
2019-04-01,Non-Electronic Products,2,10647820.0
2019-04-01,Specialised Machinery,2.0,1065285.0
2019-04-01,Total Chemicals,2.1,3636101.0
2019-04-01,Pharmaceuticals,2.1.1,920216.0
2019-04-01,Petrochemicals,2.1.2,1255009.0
2019-04-01,Electrical Circuit Apparatus,2.2,152272.3
2019-04-01,Electrical Machinery & Apparatus Nes,2.3,226595.8
2019-05-01,Total Electronic Products,1,2950797.8
2019-05-01,Disk Drives,1.1,40577.4
2019-05-01,PCB Assembled,1.2,233304.4
2019-05-01,Integrated Circuits,1.3,1417464.4
2019-05-01,Personal Computers,1.4,243043.0
2019-05-01,Telecommunications Equipment,1.6,174666.7
2019-05-01,Consumer Electronics,1.7,60601.6
2019-05-01,Parts Of Integrated Circuits,1.8,44785.9
2019-05-01,Diodes And Transistors,1.9,241071.9
2019-05-01,Non-Electronic Products,2,11516568.0
2019-05-01,Specialised Machinery,2.0,896887.0
2019-05-01,Total Chemicals,2.1,5036274.0
2019-05-01,Pharmaceuticals,2.1.1,2245638.0
2019-05-01,Petrochemicals,2.1.2,1314587.0
2019-05-01,Electrical Circuit Apparatus,2.2,172791.3
2019-05-01,Electrical Machinery & Apparatus Nes,2.3,238049.5
2019-06-01,Total Electronic Products,1,2559336.9
2019-06-01,Disk Drives,1.1,44906.5
2019-06-01,PCB Assembled,1.2,210017.6
2019-06-01,Integrated Circuits,1.3,1174570.0
2019-06-01,Personal Computers,1.4,282419.4
2019-06-01,Telecommunications Equipment,1.6,183402.4
2019-06-01,Consumer Electronics,1.7,54690.8
2019-06-01,Parts Of Integrated Circuits,1.8,37415.8
2019-06-01,Diodes And Transistors,1.9,192139.0
2019-06-01,Non-Electronic Products,2,9768876.0
2019-06-01,Specialised Machinery,2.0,892392.0
2019-06-01,Total Chemicals,2.1,3817895.0
2019-06-01,Pharmaceuticals,2.1.1,1239248.0
2019-06-01,Petrochemicals,2.1.2,1243192.0
2019-06-01,Electrical Circuit Apparatus,2.2,148150.2
2019-06-01,Electrical Machinery & Apparatus Nes,2.3,191752.0
2019-07-01,Total Electronic Products,1,3159129.2
2019-07-01,Disk Drives,1.1,43603.1
2019-07-01,PCB Assembled,1.2,250667.8
2019-07-01,Integrated Circuits,1.3,1616528.2
2019-07-01,Personal Computers,1.4,239208.8
2019-07-01,Telecommunications Equipment,1.6,205922.9
2019-07-01,Consumer Electronics,1.7,68808.9
2019-07-01,Parts Of Integrated Circuits,1.8,49695.0
2019-07-01,Diodes And Transistors,1.9,176679.7
2019-07-01,Non-Electronic Products,2,10789437.0
2019-07-01,Specialised Machinery,2.0,884947.0
2019-07-01,Total Chemicals,2.1,3881046.0
2019-07-01,Pharmaceuticals,2.1.1,1095502.0
2019-07-01,Petrochemicals,2.1.2,1348917.0
