date,variable,seriesNo,value
2019 1Q,GDP At Current Market Prices,1,126641.4
2019 2Q,GDP At Current Market Prices,1,126345.0
2019 3Q,GDP At Current Market Prices,1,129077.2
2019 4Q,GDP At Current Market Prices,1,131988.5
2020 1Q,GDP At Current Market Prices,1,126567.9
2020 2Q,GDP At Current Market Prices,1,108396.8
2020 3Q,GDP At Current Market Prices,1,120551.1
2020 4Q,GDP At Current Market Prices,1,129086.2
2021 1Q,GDP At Current Market Prices,1,137332.1
2021 2Q,GDP At Current Market Prices,1,144879.1
2021 3Q,GDP At Current Market Prices,1,149929.1
2021 4Q,GDP At Current Market Prices,1,160484.7
2022 1Q,GDP At Current Market Prices,1,169365.3
2022 2Q,GDP At Current Market Prices,1,184735.6
2022 3Q,GDP At Current Market Prices,1,178946.2
2022 4Q,GDP At Current Market Prices,1,175935.9
2023 1Q,GDP At Current Market Prices,1,166415.4
2023 2Q,GDP At Current Market Prices,1,168935.0
2023 3Q,GDP At Current Market Prices,1,170990.7
2023 4Q,GDP At Current Market Prices,1,180056.9
2024 1Q,GDP At Current Market Prices,1,179753.3
2024 2Q,GDP At Current Market Prices,1,186169.2
2024 3Q,GDP At Current Market Prices,1,196391.9
2024 4Q,GDP At Current Market Prices,1,203183.1
2025 1Q,GDP At Current Market Prices,1,189709.8
2025 2Q,GDP At Current Market Prices,1,192490.0
2025 3Q,GDP At Current Market Prices,1,197686.6
2025 4Q,GDP At Current Market Prices,1,209642.8
2019 1Q,Private Consumption Expenditure,1.1,46112.2
2019 2Q,Private Consumption Expenditure,1.1,45671.1
2019 3Q,Private Consumption Expenditure,1.1,45332.7
2019 4Q,Private Consumption Expenditure,1.1,47148.0
2020 1Q,Private Consumption Expenditure,1.1,44236.3
2020 2Q,Private Consumption Expenditure,1.1,31545.8
2020 3Q,Private Consumption Expenditure,1.1,38836.5
2020 4Q,Private Consumption Expenditure,1.1,41168.5
2021 1Q,Private Consumption Expenditure,1.1,42441.1
2021 2Q,Private Consumption Expenditure,1.1,41107.8
2021 3Q,Private Consumption Expenditure,1.1,41784.9
2021 4Q,Private Consumption Expenditure,1.1,45225.1
2022 1Q,Private Consumption Expenditure,1.1,46027.2
2022 2Q,Private Consumption Expenditure,1.1,49224.0
2022 3Q,Private Consumption Expenditure,1.1,50514.5
2022 4Q,Private Consumption Expenditure,1.1,53452.2
2023 1Q,Private Consumption Expenditure,1.1,53031.7
2023 2Q,Private Consumption Expenditure,1.1,53461.9
