date,variable,seriesNo,value
2019-01-01,Total,1,188229.4
2019-01-01,Asia,1.1,24518.4
2019-01-01,Brunei Darussalam,1.1.1,45.4
2019-01-01,Mainland China,1.1.3,2211.5
2019-01-01,Hong Kong,1.1.4,5495.6
2019-01-01,India,1.1.5,1171.4
2019-01-01,Indonesia,1.1.6,-562.2
2019-01-01,Israel,1.1.7,20.8
2019-01-01,Japan,1.1.8,8562.6
2019-01-01,Republic Of Korea,1.1.9,1921.7
2019-01-01,Malaysia,1.1.11,2504.8
2019-01-01,Myanmar,1.1.12,-8.9
2019-01-01,Philippines,1.1.13,90.3
2019-01-01,Taiwan,1.1.14,2248.0
2019-01-01,Thailand,1.1.15,316.3
2019-01-01,Timor-Leste,1.1.16,-0.9
2019-01-01,Viet Nam,1.1.17,-60.6
2019-01-01,Europe,1.2,67583.3
2019-01-01,Austria,1.2.1,479.0
2019-01-01,Belgium,1.2.2,534.7
2019-01-01,Denmark,1.2.3,1512.7
2019-01-01,France,1.2.5,3290.3
2019-01-01,Germany,1.2.6,842.4
2019-01-01,Ireland,1.2.7,1186.0
2019-01-01,Luxembourg,1.2.8,4988.7
2019-01-01,Netherlands,1.2.9,26203.5
2019-01-01,Norway,1.2.10,172.4
2019-01-01,Switzerland,1.2.11,12457.5
2019-01-01,United Kingdom,1.2.12,7797.6
2019-01-01,North America,1.3,64285.5
2019-01-01,United States Of America,1.3.1,54406.4
2019-01-01,Canada,1.3.2,9880.8
2019-01-01,Oceania,1.4,3114.4
2019-01-01,Australia,1.4.1,2378.3
2019-01-01,New Zealand,1.4.2,198.0
2019-01-01,South And Central America And The Caribbean,1.5,28207.9
2019-01-01,Bahamas,1.5.1,332.0
2019-01-01,Bermuda,1.5.2,7470.4
2019-01-01,British Virgin Islands,1.5.3,7941.5
2019-01-01,Cayman Islands,1.5.4,11591.8
2019-01-01,Mexico,1.5.5,-16.3
2019-01-01,Africa,1.6,662.9
2019-01-01,Mauritius,1.6.1,619.5
2019-01-01,ASEAN,1.7,2340.8
2019-01-01,European Union (EU-27),1.8,42078.0
2020-01-01,Total,1,191026.9
2020-01-01,Asia,1.1,28157.3
2020-01-01,Brunei Darussalam,1.1.1,7.0
2020-01-01,Mainland China,1.1.3,2911.2
2020-01-01,Hong Kong,1.1.4,4447.3
2020-01-01,India,1.1.5,-720.4
2020-01-01,Indonesia,1.1.6,-901.5
2020-01-01,Israel,1.1.7,126.9
2020-01-01,Japan,1.1.8,13357.6
2020-01-01,Republic Of Korea,1.1.9,1584.5
2020-01-01,Malaysia,1.1.11,1562.8
2020-01-01,Myanmar,1.1.12,-25.1
2020-01-01,Philippines,1.1.13,872.8
2020-01-01,Taiwan,1.1.14,4249.5
2020-01-01,Thailand,1.1.15,139.3
2020-01-01,Timor-Leste,1.1.16,-0.2
2020-01-01,Viet Nam,1.1.17,-65.1
2020-01-01,Europe,1.2,79730.8
2020-01-01,Austria,1.2.1,912.5
2020-01-01,Belgium,1.2.2,536.7
2020-01-01,Denmark,1.2.3,1738.0
2020-01-01,Finland,1.2.4,708.8
2020-01-01,France,1.2.5,3518.2
2020-01-01,Germany,1.2.6,1380.2
2020-01-01,Ireland,1.2.7,20778.9
2020-01-01,Luxembourg,1.2.8,3624.8
2020-01-01,Netherlands,1.2.9,15917.7
2020-01-01,Norway,1.2.10,-39.7
2020-01-01,Switzerland,1.2.11,13216.8
2020-01-01,United Kingdom,1.2.12,8156.2
2020-01-01,North America,1.3,55586.2
2020-01-01,United States Of America,1.3.1,49473.5
2020-01-01,Canada,1.3.2,6112.7
2020-01-01,Oceania,1.4,2216.3
2020-01-01,Australia,1.4.1,1671.4
2020-01-01,New Zealand,1.4.2,186.5
