date,variable,seriesNo,value
2019,Total,1,188229.4
2020,Total,1,191026.9
2021,Total,1,289352.9
2022,Total,1,337101.8
2023,Total,1,335468.4
2024,Total,1,378832.5
2019,Manufacturing,1.1,56531.7
2020,Manufacturing,1.1,41654.2
2021,Manufacturing,1.1,66966.8
2022,Manufacturing,1.1,75706.8
2023,Manufacturing,1.1,49269.8
2024,Manufacturing,1.1,54277.0
2019,"Food, Beverages & Tobacco",1.1.1,5683.4
2020,"Food, Beverages & Tobacco",1.1.1,3340.5
2021,"Food, Beverages & Tobacco",1.1.1,3041.6
2022,"Food, Beverages & Tobacco",1.1.1,4662.6
2023,"Food, Beverages & Tobacco",1.1.1,2241.2
2024,"Food, Beverages & Tobacco",1.1.1,3807.3
2019,"Paper, Paper Products & Printing",1.1.2,39.6
2020,"Paper, Paper Products & Printing",1.1.2,109.1
2021,"Paper, Paper Products & Printing",1.1.2,5.6
2022,"Paper, Paper Products & Printing",1.1.2,-23.0
2023,"Paper, Paper Products & Printing",1.1.2,85.6
2024,"Paper, Paper Products & Printing",1.1.2,-36.3
2021,Refined Petroleum Products,1.1.3,11484.7
2022,Refined Petroleum Products,1.1.3,5443.4
2023,Refined Petroleum Products,1.1.3,7515.0
2024,Refined Petroleum Products,1.1.3,9629.0
2019,Chemical & Chemical Products,1.1.4,4522.7
2020,Chemical & Chemical Products,1.1.4,4801.6
2021,Chemical & Chemical Products,1.1.4,6733.2
2022,Chemical & Chemical Products,1.1.4,5089.7
2023,Chemical & Chemical Products,1.1.4,4326.7
2024,Chemical & Chemical Products,1.1.4,1154.6
2019,Pharmaceutical & Biological Products,1.1.5,5458.6
2020,Pharmaceutical & Biological Products,1.1.5,6435.0
2021,Pharmaceutical & Biological Products,1.1.5,5926.2
2022,Pharmaceutical & Biological Products,1.1.5,5897.5
2023,Pharmaceutical & Biological Products,1.1.5,6949.7
2024,Pharmaceutical & Biological Products,1.1.5,105.7
2019,Rubber & Plastic Products,1.1.6,160.3
2020,Rubber & Plastic Products,1.1.6,158.0
2021,Rubber & Plastic Products,1.1.6,165.8
2022,Rubber & Plastic Products,1.1.6,324.0
2023,Rubber & Plastic Products,1.1.6,250.0
2024,Rubber & Plastic Products,1.1.6,427.9
2019,Basic Metals,1.1.7,-9.2
2020,Basic Metals,1.1.7,1.9
2021,Basic Metals,1.1.7,6.6
2022,Basic Metals,1.1.7,5.6
2023,Basic Metals,1.1.7,0.3
2024,Basic Metals,1.1.7,6.7
2019,Fabricated Metal Products,1.1.8,301.4
2020,Fabricated Metal Products,1.1.8,272.7
2021,Fabricated Metal Products,1.1.8,396.0
2022,Fabricated Metal Products,1.1.8,413.7
2023,Fabricated Metal Products,1.1.8,165.0
2024,Fabricated Metal Products,1.1.8,230.7
2019,Machinery & Equipment,1.1.9,1259.9
2020,Machinery & Equipment,1.1.9,1195.5
2021,Machinery & Equipment,1.1.9,1359.8
2022,Machinery & Equipment,1.1.9,3582.4
2023,Machinery & Equipment,1.1.9,369.3
2024,Machinery & Equipment,1.1.9,2266.5
2019,Electrical Machinery & Apparatus,1.1.10,211.3
2020,Electrical Machinery & Apparatus,1.1.10,252.6
2021,Electrical Machinery & Apparatus,1.1.10,282.2
2022,Electrical Machinery & Apparatus,1.1.10,309.6
2023,Electrical Machinery & Apparatus,1.1.10,309.8
2024,Electrical Machinery & Apparatus,1.1.10,325.9
2019,"Computer, Electronic And Optical Products",1.1.11,27989.9
2020,"Computer, Electronic And Optical Products",1.1.11,19728.8
2021,"Computer, Electronic And Optical Products",1.1.11,33729.6
2022,"Computer, Electronic And Optical Products",1.1.11,43942.4
2023,"Computer, Electronic And Optical Products",1.1.11,20893.8
2024,"Computer, Electronic And Optical Products",1.1.11,30783.0
2019,Semiconductor Devices,1.1.11.1,21542.0
2020,Semiconductor Devices,1.1.11.1,13458.8
2021,Semiconductor Devices,1.1.11.1,27204.8
2022,Semiconductor Devices,1.1.11.1,37251.9
2023,Semiconductor Devices,1.1.11.1,14706.1
2024,Semiconductor Devices,1.1.11.1,20495.3
2019,Computers & Peripheral Equipment,1.1.11.2,3309.2
2020,Computers & Peripheral Equipment,1.1.11.2,2999.1
2021,Computers & Peripheral Equipment,1.1.11.2,3342.6
2022,Computers & Peripheral Equipment,1.1.11.2,3668.4
