date,variable,seriesNo,value
2019,Total Manufacturing,1,92204.3
2020,Total Manufacturing,1,88614.6
2021,Total Manufacturing,1,115076.2
2022,Total Manufacturing,1,135951.6
2023,Total Manufacturing,1,108605.9
2024,Total Manufacturing,1,116595.3
2025,Total Manufacturing,1,132813.8
2019,"Food, Beverage & Tobacco",1.10,4415.4
2020,"Food, Beverage & Tobacco",1.10,3962.0
2021,"Food, Beverage & Tobacco",1.10,4182.4
2022,"Food, Beverage & Tobacco",1.10,4613.3
2023,"Food, Beverage & Tobacco",1.10,4067.1
2024,"Food, Beverage & Tobacco",1.10,6790.1
2025,"Food, Beverage & Tobacco",1.10,6551.7
2019,Textiles & Textile Manufactures,1.13,23.1
2020,Textiles & Textile Manufactures,1.13,11.6
2021,Textiles & Textile Manufactures,1.13,12.3
2022,Textiles & Textile Manufactures,1.13,14.0
2023,Textiles & Textile Manufactures,1.13,19.8
2024,Textiles & Textile Manufactures,1.13,16.8
2025,Textiles & Textile Manufactures,1.13,17.2
2019,Wearing Apparel,1.14,96.7
2020,Wearing Apparel,1.14,79.8
2021,Wearing Apparel,1.14,75.2
2022,Wearing Apparel,1.14,105.8
2023,Wearing Apparel,1.14,80.8
2024,Wearing Apparel,1.14,109.5
2025,Wearing Apparel,1.14,99.3
2019,"Leather, Leather Products & Footwear",1.15,52.7
2020,"Leather, Leather Products & Footwear",1.15,30.7
2021,"Leather, Leather Products & Footwear",1.15,42.6
2022,"Leather, Leather Products & Footwear",1.15,42.1
2023,"Leather, Leather Products & Footwear",1.15,40.4
2024,"Leather, Leather Products & Footwear",1.15,91.0
2025,"Leather, Leather Products & Footwear",1.15,94.4
2019,Wood & Wood Products,1.16,111.1
2020,Wood & Wood Products,1.16,109.9
2021,Wood & Wood Products,1.16,133.5
2022,Wood & Wood Products,1.16,179.3
2023,Wood & Wood Products,1.16,161.4
2024,Wood & Wood Products,1.16,174.2
2025,Wood & Wood Products,1.16,171.6
2019,Paper & Paper Products,1.17,245.8
2020,Paper & Paper Products,1.17,263.0
2021,Paper & Paper Products,1.17,256.8
2022,Paper & Paper Products,1.17,251.7
2023,Paper & Paper Products,1.17,250.7
2024,Paper & Paper Products,1.17,212.1
2025,Paper & Paper Products,1.17,165.1
2019,Printing & Reproduction Of Recorded Media,1.18,475.2
2020,Printing & Reproduction Of Recorded Media,1.18,331.3
2021,Printing & Reproduction Of Recorded Media,1.18,323.1
2022,Printing & Reproduction Of Recorded Media,1.18,338.0
2023,Printing & Reproduction Of Recorded Media,1.18,340.2
2024,Printing & Reproduction Of Recorded Media,1.18,341.2
2025,Printing & Reproduction Of Recorded Media,1.18,375.2
2019,Refined Petroleum Products,1.19,787.5
2020,Refined Petroleum Products,1.19,1586.2
2021,Refined Petroleum Products,1.19,5106.8
2022,Refined Petroleum Products,1.19,7350.8
2023,Refined Petroleum Products,1.19,9517.2
2024,Refined Petroleum Products,1.19,7209.9
2025,Refined Petroleum Products,1.19,4887.9
2019,Chemicals & Chemical Products,1.20,10899.1
2020,Chemicals & Chemical Products,1.20,10792.5
2021,Chemicals & Chemical Products,1.20,14905.9
2022,Chemicals & Chemical Products,1.20,14112.7
2023,Chemicals & Chemical Products,1.20,10561.9
2024,Chemicals & Chemical Products,1.20,10114.4
2025,Chemicals & Chemical Products,1.20,10223.6
2019,Pharmaceutical & Biological Products,1.21,6185.8
2020,Pharmaceutical & Biological Products,1.21,8771.4
2021,Pharmaceutical & Biological Products,1.21,8188.3
2022,Pharmaceutical & Biological Products,1.21,8841.1
2023,Pharmaceutical & Biological Products,1.21,8766.7
2024,Pharmaceutical & Biological Products,1.21,4288.0
2025,Pharmaceutical & Biological Products,1.21,7338.5
2019,Rubber & Plastic Products,1.22,764.9
2020,Rubber & Plastic Products,1.22,804.6
2021,Rubber & Plastic Products,1.22,913.5
2022,Rubber & Plastic Products,1.22,942.3
