date,variable,seriesNo,value
2019-01-01,"Total Merchandise Trade, (At Current Prices)",1,84968648.0
2019-01-01,Oil,1.1,16536049.2
2019-01-01,Non-Oil,1.2,68432598.9
2019-01-01,"Total Merchandise Imports, (At Current Prices)",2,41351036.0
2019-01-01,Oil,2.1,9092577.2
2019-01-01,Non-Oil,2.2,32258458.8
2019-01-01,"Total Merchandise Exports, (At Current Prices)",3,43617612.1
2019-01-01,Oil,3.1,7443472.0
2019-01-01,Non-Oil,3.2,36174140.1
2019-01-01,"Total Domestic Exports, (At Current Prices)",4,20740470.1
2019-01-01,Oil,4.1,7288773.3
2019-01-01,Non-Oil,4.2,13451696.8
2019-01-01,"Total Re-Exports, (At Current Prices)",5,22877142.0
2019-01-01,Oil,5.1,154698.6
2019-01-01,Non-Oil,5.2,22722443.3
2019-02-01,"Total Merchandise Trade, (At Current Prices)",1,86141537.4
2019-02-01,Oil,1.1,15671415.1
2019-02-01,Non-Oil,1.2,70470122.3
2019-02-01,"Total Merchandise Imports, (At Current Prices)",2,40780153.4
2019-02-01,Oil,2.1,8759889.1
2019-02-01,Non-Oil,2.2,32020264.3
2019-02-01,"Total Merchandise Exports, (At Current Prices)",3,45361383.9
2019-02-01,Oil,3.1,6911526.0
2019-02-01,Non-Oil,3.2,38449858.0
2019-02-01,"Total Domestic Exports, (At Current Prices)",4,22113634.1
2019-02-01,Oil,4.1,6779739.5
2019-02-01,Non-Oil,4.2,15333894.7
2019-02-01,"Total Re-Exports, (At Current Prices)",5,23247749.8
2019-02-01,Oil,5.1,131786.5
2019-02-01,Non-Oil,5.2,23115963.3
2019-03-01,"Total Merchandise Trade, (At Current Prices)",1,83546485.9
2019-03-01,Oil,1.1,15625333.1
2019-03-01,Non-Oil,1.2,67921152.8
2019-03-01,"Total Merchandise Imports, (At Current Prices)",2,39933891.1
2019-03-01,Oil,2.1,8149931.5
2019-03-01,Non-Oil,2.2,31783959.6
2019-03-01,"Total Merchandise Exports, (At Current Prices)",3,43612594.8
2019-03-01,Oil,3.1,7475401.6
2019-03-01,Non-Oil,3.2,36137193.2
2019-03-01,"Total Domestic Exports, (At Current Prices)",4,20523183.8
2019-03-01,Oil,4.1,7387842.6
2019-03-01,Non-Oil,4.2,13135341.2
2019-03-01,"Total Re-Exports, (At Current Prices)",5,23089411.0
2019-03-01,Oil,5.1,87559.1
2019-03-01,Non-Oil,5.2,23001851.9
2019-04-01,"Total Merchandise Trade, (At Current Prices)",1,85225359.1
2019-04-01,Oil,1.1,16635662.5
2019-04-01,Non-Oil,1.2,68589696.6
2019-04-01,"Total Merchandise Imports, (At Current Prices)",2,41054692.4
2019-04-01,Oil,2.1,8748711.0
2019-04-01,Non-Oil,2.2,32305981.4
2019-04-01,"Total Merchandise Exports, (At Current Prices)",3,44170666.7
2019-04-01,Oil,3.1,7886951.6
2019-04-01,Non-Oil,3.2,36283715.2
2019-04-01,"Total Domestic Exports, (At Current Prices)",4,21024174.2
2019-04-01,Oil,4.1,7657230.1
2019-04-01,Non-Oil,4.2,13366944.2
2019-04-01,"Total Re-Exports, (At Current Prices)",5,23146492.5
2019-04-01,Oil,5.1,229721.5
2019-04-01,Non-Oil,5.2,22916771.0
2019-05-01,"Total Merchandise Trade, (At Current Prices)",1,87772339.4
2019-05-01,Oil,1.1,18301341.8
2019-05-01,Non-Oil,1.2,69470997.7
2019-05-01,"Total Merchandise Imports, (At Current Prices)",2,41856962.4
2019-05-01,Oil,2.1,9588500.1
2019-05-01,Non-Oil,2.2,32268462.3
2019-05-01,"Total Merchandise Exports, (At Current Prices)",3,45915377.0
2019-05-01,Oil,3.1,8712841.6
2019-05-01,Non-Oil,3.2,37202535.4
2019-05-01,"Total Domestic Exports, (At Current Prices)",4,22294760.5
2019-05-01,Oil,4.1,8481058.6
2019-05-01,Non-Oil,4.2,13813701.9
2019-05-01,"Total Re-Exports, (At Current Prices)",5,23620616.5
2019-05-01,Oil,5.1,231783.0
2019-05-01,Non-Oil,5.2,23388833.5
2019-06-01,"Total Merchandise Trade, (At Current Prices)",1,85359025.4
2019-06-01,Oil,1.1,16687875.3
2019-06-01,Non-Oil,1.2,68671150.0
2019-06-01,"Total Merchandise Imports, (At Current Prices)",2,41235666.2
2019-06-01,Oil,2.1,8552502.1
2019-06-01,Non-Oil,2.2,32683164.1
2019-06-01,"Total Merchandise Exports, (At Current Prices)",3,44123359.1
2019-06-01,Oil,3.1,8135373.2
2019-06-01,Non-Oil,3.2,35987985.9
2019-06-01,"Total Domestic Exports, (At Current Prices)",4,21038358.0
2019-06-01,Oil,4.1,7941907.1
2019-06-01,Non-Oil,4.2,13096450.8
2019-06-01,"Total Re-Exports, (At Current Prices)",5,23085001.2
2019-06-01,Oil,5.1,193466.1
2019-06-01,Non-Oil,5.2,22891535.1
2019-07-01,"Total Merchandise Trade, (At Current Prices)",1,83727099.1
2019-07-01,Oil,1.1,15928322.4
2019-07-01,Non-Oil,1.2,67798776.7
2019-07-01,"Total Merchandise Imports, (At Current Prices)",2,40107534.8
2019-07-01,Oil,2.1,8649968.4
2019-07-01,Non-Oil,2.2,31457566.5
2019-07-01,"Total Merchandise Exports, (At Current Prices)",3,43619564.2
2019-07-01,Oil,3.1,7278354.0
2019-07-01,Non-Oil,3.2,36341210.2
2019-07-01,"Total Domestic Exports, (At Current Prices)",4,20352603.8
2019-07-01,Oil,4.1,7027263.8
2019-07-01,Non-Oil,4.2,13325340.0
2019-07-01,"Total Re-Exports, (At Current Prices)",5,23266960.5
2019-07-01,Oil,5.1,251090.2
2019-07-01,Non-Oil,5.2,23015870.3
2019-08-01,"Total Merchandise Trade, (At Current Prices)",1,84214763.6
2019-08-01,Oil,1.1,14832202.8
2019-08-01,Non-Oil,1.2,69382560.8
2019-08-01,"Total Merchandise Imports, (At Current Prices)",2,40390737.9
2019-08-01,Oil,2.1,7988904.6
2019-08-01,Non-Oil,2.2,32401833.4
2019-08-01,"Total Merchandise Exports, (At Current Prices)",3,43824025.6
2019-08-01,Oil,3.1,6843298.2
2019-08-01,Non-Oil,3.2,36980727.4
2019-08-01,"Total Domestic Exports, (At Current Prices)",4,20720452.4
2019-08-01,Oil,4.1,6633701.4
2019-08-01,Non-Oil,4.2,14086751.0
2019-08-01,"Total Re-Exports, (At Current Prices)",5,23103573.3
2019-08-01,Oil,5.1,209596.9
