date,variable,seriesNo,value
2019-01-01,Total Merchandise Exports,1,44530898.0
2019-01-01,"Fish, Seafood (Excl Marine Mammals) & Preparations",1.4,42081.0
2019-01-01,Vegetables & Fruit,1.6,28353.0
2019-01-01,"Coffee, Tea, Cocoa, Spices & Manufactures",1.8,118046.0
2019-01-01,Beverages,1.11,373444.0
2019-01-01,Tobacco & Manufactures,1.12,146833.0
2019-01-01,Crude Rubber,1.23,92911.0
2019-01-01,Crude Fertilizers & Minerals (Excl Division 56 Coal Petroleum & Precious Stones),1.27,11562.0
2019-01-01,Metalliferous Ores & Metal Scrap,1.28,83483.0
2019-01-01,Crude Animal & Vegetable Materials Nes,1.29,19086.0
2019-01-01,"Coal, Coke & Briquettes",1.32,1.0
2019-01-01,Petroleum & Products & Related Materials,1.33,5438837.0
2019-01-01,Gas,1.34,70549.0
2019-01-01,Oil Bunkers,1.39,2212822.0
2019-01-01,Fixed Vegetable Fats & Oils Crude Refined Or Fractionated,1.42,14680.0
2019-01-01,Animal Or Vegetable Fats & Oils Processed Waxes Of Animal Or Vegetable Origin Inedible Mixtures Or Preparations Of Animal Or Vegetable Fats Or Oils Nes,1.43,7371.0
2019-01-01,Organic Chemicals,1.51,1655183.0
2019-01-01,Medicinal & Pharmaceutical Products,1.54,1281621.0
2019-01-01,Essential Oils & Resinoids & Perfume Materials; Toilet Polishing & Cleansing Preparations,1.55,1121530.0
2019-01-01,Plastics In Primary Forms,1.57,1405670.0
2019-01-01,Plastics In Non-Primary Forms,1.58,126792.0
2019-01-01,Rubber Manufactures Nes,1.62,98066.0
2019-01-01,"Paper, Paperboard & Articles Of Paper Pulp Of Paper Or Of Paperboard",1.64,194019.0
2019-01-01,"Textile, Yarn, Fabrics Made-Up Articles Nes & Related Products",1.65,83002.0
2019-01-01,Non-Metallic Mineral Manufactures Nes,1.66,259741.0
2019-01-01,Iron & Steel,1.67,296491.0
2019-01-01,Non-Ferrous Metals,1.68,202470.0
2019-01-01,Manufactures Of Metals Nes,1.69,373937.0
2019-01-01,Office Machines & Automatic Data-Processing Machines,1.75,2048534.0
2019-01-01,Telecommunications & Sound-Recording & Reproducing Apparatus & Equipment,1.76,1590542.0
2019-01-01,Electrical Machinery Apparatus & Appliances Nes & Electrical Parts Thereof,1.77,12079814.0
2019-01-01,Articles Of Apparel & Clothing Accessories,1.84,148192.0
2019-01-01,Professional Scientific & Controlling Instruments & Apparatus Nes,1.87,1576226.0
2019-01-01,Photographic Apparatus Equipment & Supplies & Optical Goods Nes; Watches & Clocks,1.88,379191.0
2019-01-01,Miscellaneous Manufactured Articles Nes,1.89,1351146.0
2019-02-01,Total Merchandise Exports,1,39862596.0
2019-02-01,"Fish, Seafood (Excl Marine Mammals) & Preparations",1.4,26904.0
2019-02-01,Vegetables & Fruit,1.6,18226.0
2019-02-01,"Coffee, Tea, Cocoa, Spices & Manufactures",1.8,97366.0
2019-02-01,Beverages,1.11,208249.0
2019-02-01,Tobacco & Manufactures,1.12,92411.0
2019-02-01,Crude Rubber,1.23,105775.0
2019-02-01,Crude Fertilizers & Minerals (Excl Division 56 Coal Petroleum & Precious Stones),1.27,6379.0
2019-02-01,Metalliferous Ores & Metal Scrap,1.28,76331.0
2019-02-01,Crude Animal & Vegetable Materials Nes,1.29,11457.0
2019-02-01,"Coal, Coke & Briquettes",1.32,0.0
2019-02-01,Petroleum & Products & Related Materials,1.33,4645017.0
2019-02-01,Gas,1.34,68853.0
2019-02-01,Oil Bunkers,1.39,2159904.0
2019-02-01,Fixed Vegetable Fats & Oils Crude Refined Or Fractionated,1.42,7574.0
2019-02-01,Animal Or Vegetable Fats & Oils Processed Waxes Of Animal Or Vegetable Origin Inedible Mixtures Or Preparations Of Animal Or Vegetable Fats Or Oils Nes,1.43,6483.0
2019-02-01,Organic Chemicals,1.51,1808677.0
2019-02-01,Medicinal & Pharmaceutical Products,1.54,721812.0
2019-02-01,Essential Oils & Resinoids & Perfume Materials; Toilet Polishing & Cleansing Preparations,1.55,1024130.0
2019-02-01,Plastics In Primary Forms,1.57,1822914.0
2019-02-01,Plastics In Non-Primary Forms,1.58,92946.0
2019-02-01,Rubber Manufactures Nes,1.62,68932.0
2019-02-01,"Paper, Paperboard & Articles Of Paper Pulp Of Paper Or Of Paperboard",1.64,152453.0
2019-02-01,"Textile, Yarn, Fabrics Made-Up Articles Nes & Related Products",1.65,59740.0
2019-02-01,Non-Metallic Mineral Manufactures Nes,1.66,203525.0
2019-02-01,Iron & Steel,1.67,186767.0
2019-02-01,Non-Ferrous Metals,1.68,132413.0
2019-02-01,Manufactures Of Metals Nes,1.69,289566.0
2019-02-01,Office Machines & Automatic Data-Processing Machines,1.75,1723365.0
2019-02-01,Telecommunications & Sound-Recording & Reproducing Apparatus & Equipment,1.76,1172991.0
2019-02-01,Electrical Machinery Apparatus & Appliances Nes & Electrical Parts Thereof,1.77,10425526.0
2019-02-01,Articles Of Apparel & Clothing Accessories,1.84,131152.0
2019-02-01,Professional Scientific & Controlling Instruments & Apparatus Nes,1.87,1335157.0
2019-02-01,Photographic Apparatus Equipment & Supplies & Optical Goods Nes; Watches & Clocks,1.88,347313.0
2019-02-01,Miscellaneous Manufactured Articles Nes,1.89,1156138.0
2019-03-01,Total Merchandise Exports,1,44232102.0
2019-03-01,"Fish, Seafood (Excl Marine Mammals) & Preparations",1.4,37470.0
2019-03-01,Vegetables & Fruit,1.6,27481.0
2019-03-01,"Coffee, Tea, Cocoa, Spices & Manufactures",1.8,118787.0
2019-03-01,Beverages,1.11,306272.0
2019-03-01,Tobacco & Manufactures,1.12,145701.0
2019-03-01,Crude Rubber,1.23,144948.0
2019-03-01,Crude Fertilizers & Minerals (Excl Division 56 Coal Petroleum & Precious Stones),1.27,6347.0
2019-03-01,Metalliferous Ores & Metal Scrap,1.28,128510.0
2019-03-01,Crude Animal & Vegetable Materials Nes,1.29,21612.0
2019-03-01,"Coal, Coke & Briquettes",1.32,161.0
2019-03-01,Petroleum & Products & Related Materials,1.33,5144912.0
2019-03-01,Gas,1.34,21625.0
2019-03-01,Oil Bunkers,1.39,1990908.0
2019-03-01,Fixed Vegetable Fats & Oils Crude Refined Or Fractionated,1.42,15242.0
2019-03-01,Animal Or Vegetable Fats & Oils Processed Waxes Of Animal Or Vegetable Origin Inedible Mixtures Or Preparations Of Animal Or Vegetable Fats Or Oils Nes,1.43,6901.0
2019-03-01,Organic Chemicals,1.51,1153292.0
2019-03-01,Medicinal & Pharmaceutical Products,1.54,1086703.0
2019-03-01,Essential Oils & Resinoids & Perfume Materials; Toilet Polishing & Cleansing Preparations,1.55,1234150.0
2019-03-01,Plastics In Primary Forms,1.57,1507158.0
2019-03-01,Plastics In Non-Primary Forms,1.58,119363.0
2019-03-01,Rubber Manufactures Nes,1.62,90490.0
2019-03-01,"Paper, Paperboard & Articles Of Paper Pulp Of Paper Or Of Paperboard",1.64,184085.0
2019-03-01,"Textile, Yarn, Fabrics Made-Up Articles Nes & Related Products",1.65,84710.0
2019-03-01,Non-Metallic Mineral Manufactures Nes,1.66,236639.0
2019-03-01,Iron & Steel,1.67,226828.0
2019-03-01,Non-Ferrous Metals,1.68,197453.0
2019-03-01,Manufactures Of Metals Nes,1.69,378298.0
2019-03-01,Office Machines & Automatic Data-Processing Machines,1.75,2008098.0
2019-03-01,Telecommunications & Sound-Recording & Reproducing Apparatus & Equipment,1.76,1505624.0
2019-03-01,Electrical Machinery Apparatus & Appliances Nes & Electrical Parts Thereof,1.77,11072074.0
2019-03-01,Articles Of Apparel & Clothing Accessories,1.84,147122.0
2019-03-01,Professional Scientific & Controlling Instruments & Apparatus Nes,1.87,1850170.0
2019-03-01,Photographic Apparatus Equipment & Supplies & Optical Goods Nes; Watches & Clocks,1.88,458621.0
2019-03-01,Miscellaneous Manufactured Articles Nes,1.89,1363292.0
2019-04-01,Total Merchandise Exports,1,44138798.0
2019-04-01,"Fish, Seafood (Excl Marine Mammals) & Preparations",1.4,30710.0
2019-04-01,Vegetables & Fruit,1.6,26845.0
2019-04-01,"Coffee, Tea, Cocoa, Spices & Manufactures",1.8,99709.0
2019-04-01,Beverages,1.11,321083.0
2019-04-01,Tobacco & Manufactures,1.12,136898.0
2019-04-01,Crude Rubber,1.23,136496.0
2019-04-01,Crude Fertilizers & Minerals (Excl Division 56 Coal Petroleum & Precious Stones),1.27,8251.0
2019-04-01,Metalliferous Ores & Metal Scrap,1.28,101918.0
2019-04-01,Crude Animal & Vegetable Materials Nes,1.29,22188.0
2019-04-01,"Coal, Coke & Briquettes",1.32,25.0
2019-04-01,Petroleum & Products & Related Materials,1.33,5658045.0
2019-04-01,Gas,1.34,17773.0
2019-04-01,Oil Bunkers,1.39,2268002.0
2019-04-01,Fixed Vegetable Fats & Oils Crude Refined Or Fractionated,1.42,12655.0
2019-04-01,Animal Or Vegetable Fats & Oils Processed Waxes Of Animal Or Vegetable Origin Inedible Mixtures Or Preparations Of Animal Or Vegetable Fats Or Oils Nes,1.43,5863.0
2019-04-01,Organic Chemicals,1.51,1154818.0
2019-04-01,Medicinal & Pharmaceutical Products,1.54,966660.0
