date,variable,seriesNo,value
2019-01-01,Total,1,10.3
2019-01-01,Asia,1.1,6.6
2019-01-01,Brunei Darussalam,1.1.1,12.1
2019-01-01,Mainland China,1.1.3,5.3
2019-01-01,Hong Kong,1.1.4,8.6
2019-01-01,India,1.1.5,4.5
2019-01-01,Indonesia,1.1.6,-11.9
2019-01-01,Israel,1.1.7,2.4
2019-01-01,Japan,1.1.8,6.9
2019-01-01,Republic Of Korea,1.1.9,8.8
2019-01-01,Malaysia,1.1.11,6.4
2019-01-01,Myanmar,1.1.12,-2.3
2019-01-01,Philippines,1.1.13,1.5
2019-01-01,Taiwan,1.1.14,12.0
2019-01-01,Thailand,1.1.15,3.2
2019-01-01,Viet Nam,1.1.17,-13.6
2019-01-01,Europe,1.2,13.2
2019-01-01,Austria,1.2.1,13.5
2019-01-01,Belgium,1.2.2,7.2
2019-01-01,Denmark,1.2.3,8.1
2019-01-01,France,1.2.5,17.5
2019-01-01,Germany,1.2.6,3.8
2019-01-01,Ireland,1.2.7,6.3
2019-01-01,Luxembourg,1.2.8,4.5
2019-01-01,Netherlands,1.2.9,40.6
2019-01-01,Norway,1.2.10,1.2
2019-01-01,Switzerland,1.2.11,19.6
2019-01-01,United Kingdom,1.2.12,8.2
2019-01-01,North America,1.3,16.1
2019-01-01,United States Of America,1.3.1,15.1
2019-01-01,Canada,1.3.2,25.4
2019-01-01,Oceania,1.4,13.1
2019-01-01,Australia,1.4.1,13.6
2019-01-01,New Zealand,1.4.2,8.5
2019-01-01,South And Central America And The Caribbean,1.5,5.9
2019-01-01,Bahamas,1.5.1,1.6
2019-01-01,Bermuda,1.5.2,7.6
2019-01-01,British Virgin Islands,1.5.3,5.7
2019-01-01,Cayman Islands,1.5.4,5.7
2019-01-01,Africa,1.6,2.0
2019-01-01,Mauritius,1.6.1,2.0
2019-01-01,ASEAN,1.7,3.9
2019-01-01,European Union (EU-27),1.8,14.9
2020-01-01,Total,1,9.5
2020-01-01,Asia,1.1,6.9
2020-01-01,Brunei Darussalam,1.1.1,2.1
2020-01-01,Mainland China,1.1.3,6.6
2020-01-01,Hong Kong,1.1.4,5.7
2020-01-01,India,1.1.5,-3.2
2020-01-01,Indonesia,1.1.6,-17.9
2020-01-01,Japan,1.1.8,9.9
2020-01-01,Republic Of Korea,1.1.9,6.2
2020-01-01,Malaysia,1.1.11,3.8
2020-01-01,Myanmar,1.1.12,-7.0
2020-01-01,Philippines,1.1.13,14.6
2020-01-01,Taiwan,1.1.14,20.5
2020-01-01,Thailand,1.1.15,1.1
2020-01-01,Viet Nam,1.1.17,-14.1
2020-01-01,Europe,1.2,15.8
2020-01-01,Austria,1.2.1,23.1
2020-01-01,Belgium,1.2.2,6.5
2020-01-01,Denmark,1.2.3,9.9
2020-01-01,Finland,1.2.4,14.0
2020-01-01,France,1.2.5,14.9
2020-01-01,Germany,1.2.6,9.1
2020-01-01,Ireland,1.2.7,53.0
2020-01-01,Luxembourg,1.2.8,4.2
2020-01-01,Netherlands,1.2.9,62.8
2020-01-01,Norway,1.2.10,-0.3
2020-01-01,Switzerland,1.2.11,19.4
2020-01-01,United Kingdom,1.2.12,7.2
2020-01-01,North America,1.3,10.2
2020-01-01,United States Of America,1.3.1,10.3
2020-01-01,Canada,1.3.2,9.6
2020-01-01,Oceania,1.4,9.2
2020-01-01,Australia,1.4.1,9.9
2020-01-01,New Zealand,1.4.2,9.5
2020-01-01,South And Central America And The Caribbean,1.5,5.0
2020-01-01,Bahamas,1.5.1,0.8
2020-01-01,Bermuda,1.5.2,5.3
2020-01-01,British Virgin Islands,1.5.3,4.4
2020-01-01,Cayman Islands,1.5.4,5.4
2020-01-01,Africa,1.6,-0.4
2020-01-01,Mauritius,1.6.1,-0.9
2020-01-01,ASEAN,1.7,2.5
2020-01-01,European Union (EU-27),1.8,22.4
2021-01-01,Total,1,12.6
2021-01-01,Asia,1.1,16.4
2021-01-01,Brunei Darussalam,1.1.1,0.4
2021-01-01,Cambodia,1.1.2,6.7
2021-01-01,Mainland China,1.1.3,15.7
2021-01-01,Hong Kong,1.1.4,10.9
2021-01-01,India,1.1.5,0.3
