date,variable,seriesNo,value
2019-01-01,Total,1,10.3
2019-01-01,Manufacturing,1.1,24.2
2019-01-01,"Food, Beverages & Tobacco",1.1.1,15.1
2019-01-01,"Paper, Paper Products & Printing",1.1.2,5.7
2019-01-01,Chemical & Chemical Products,1.1.4,23.4
2019-01-01,Pharmaceutical & Biological Products,1.1.5,25.1
2019-01-01,Rubber & Plastic Products,1.1.6,8.1
2019-01-01,Fabricated Metal Products,1.1.8,8.6
2019-01-01,Machinery & Equipment,1.1.9,7.4
2019-01-01,Electrical Machinery & Apparatus,1.1.10,14.4
2019-01-01,"Computer, Electronic And Optical Products",1.1.11,34.4
2019-01-01,Semiconductor Devices,1.1.11.1,35.5
2019-01-01,Computers & Peripheral Equipment,1.1.11.2,63.4
2019-01-01,"Instrumentation, Photographic & Optical Goods",1.1.11.3,16.1
2019-01-01,Other Electronics Nec,1.1.11.4,24.9
2019-01-01,Transport Equipment,1.1.12,26.7
2019-01-01,Construction,1.2,3.3
2019-01-01,Wholesale & Retail Trade,1.3,17.2
2019-01-01,Wholesale Trade,1.3.1,17.5
2019-01-01,Retail Trade,1.3.2,2.3
2019-01-01,Accommodation & Food Services,1.4,3.3
2019-01-01,Transportation & Storage,1.5,9.9
2019-01-01,Water Transport & Supporting Services,1.5.1,10.9
2019-01-01,Freight Water Transport,1.5.1.1,10.7
2019-01-01,Other Water Transport Nec,1.5.1.2,12.2
2019-01-01,"Warehousing, Post & Courier Services",1.5.3,9.9
2019-01-01,Information & Communications,1.6,0.6
2019-01-01,Finance & Insurance,1.7,6.9
2019-01-01,Financial Services,1.7.1,7.5
2019-01-01,Banks,1.7.1.1,13.7
2019-01-01,Holding Companies,1.7.1.2,6.5
2019-01-01,Other Financial Services,1.7.1.3,16.6
2019-01-01,Insurance Services,1.7.2,-18.3
2019-01-01,Real Estate,1.8,4.8
2019-01-01,Professional And Administrative & Support Services,1.9,4.7
2019-01-01,Others,1.10,5.3
2020-01-01,Total,1,9.5
2020-01-01,Manufacturing,1.1,17.6
2020-01-01,"Food, Beverages & Tobacco",1.1.1,8.9
2020-01-01,"Paper, Paper Products & Printing",1.1.2,13.0
2020-01-01,Chemical & Chemical Products,1.1.4,23.7
2020-01-01,Pharmaceutical & Biological Products,1.1.5,44.6
2020-01-01,Rubber & Plastic Products,1.1.6,7.5
2020-01-01,Fabricated Metal Products,1.1.8,8.1
2020-01-01,Machinery & Equipment,1.1.9,6.9
2020-01-01,Electrical Machinery & Apparatus,1.1.10,20.0
2020-01-01,"Computer, Electronic And Optical Products",1.1.11,22.0
2020-01-01,Semiconductor Devices,1.1.11.1,17.6
2020-01-01,"Instrumentation, Photographic & Optical Goods",1.1.11.3,35.4
2020-01-01,Other Electronics Nec,1.1.11.4,25.0
2020-01-01,Transport Equipment,1.1.12,3.8
2020-01-01,Construction,1.2,-8.4
2020-01-01,Wholesale & Retail Trade,1.3,15.6
2020-01-01,Wholesale Trade,1.3.1,15.8
2020-01-01,Retail Trade,1.3.2,0.1
2020-01-01,Accommodation & Food Services,1.4,-1.9
2020-01-01,Transportation & Storage,1.5,27.6
