date,variable,seriesNo,value
2019-01-01,"Establishments, Total Services Sector",1,260036.0
2019-01-01,SSIC 46 - Total Wholesale Trade,1.1,52370.0
2019-01-01,SSIC 46100 - Wholesale On A Fee Or Commission Basis,1.1.1,1607.0
2019-01-01,SSIC 4621/2 - Agricultural Raw Materials & Live Animals,1.1.2,901.0
2019-01-01,SSIC 46301 - Fruits & Vegetables (Including Fresh And Frozen),1.1.3,608.0
2019-01-01,"SSIC 46302 - Livestock, Meat, Poultry, Eggs & Seafood (Including Fresh And Frozen)",1.1.4,855.0
2019-01-01,"SSIC 46303 - A General Line (Wide Range) Of Groceries (e.g. Cereals, Sugar, Edible Oils, Sauces And Dairy Products)",1.1.5,357.0
2019-01-01,"SSIC 46304/5 - Confectionery & Bakery Products, Ice-Cream",1.1.6,271.0
2019-01-01,SSIC 46306 - Health Supplements,1.1.7,543.0
2019-01-01,"SSIC 46307 - Liquor, Soft Drinks & Beverages",1.1.8,465.0
2019-01-01,"SSIC 46308/9 - Tobacco Products, Food, Beverages & Tobacco Nec (Including Dried Or Canned)",1.1.9,831.0
2019-01-01,"SSIC 46411/2/3 - Textiles & Leathers, Adults' Clothing, Children And Infants' Clothing (Including Products And Accessories For Infants)",1.1.10,1228.0
2019-01-01,"SSIC 46414/5/6 - Footwear, Bags, Luggage & Travel Accessories, Sewing & Clothing Accessories",1.1.11,280.0
2019-01-01,SSIC 46421/2 - Jewellery Made From Precious Metals And Stones & Costume Jewellery,1.1.12,366.0
2019-01-01,SSIC 46423 - Watches & Clocks,1.1.13,112.0
2019-01-01,"SSIC 46424/9 - Cosmetics & Toiletries, Personal Effects Nec",1.1.14,732.0
2019-01-01,"SSIC 46431 - Furniture (Including Mattresses, Cushions)",1.1.15,301.0
2019-01-01,"SSIC 46432 - Furnishings (Including Curtains, Carpets, Wallpaper)",1.1.16,248.0
2019-01-01,SSIC 46433 - Lighting & Lighting Accessories,1.1.17,282.0
2019-01-01,"SSIC 46434 - Crockery, Cutlery & Kitchen Utensils",1.1.18,124.0
2019-01-01,"SSIC 46435/6 - Household Electrical Appliances & Equipment, Audio & Video Equipment Except Electrical & Electronic Components",1.1.19,550.0
2019-01-01,"SSIC 46439 - Furniture, Home Furnishings & Other Household Equipment Nec",1.1.20,314.0
2019-01-01,SSIC 4644 - Sporting & Other Recreational Goods,1.1.21,631.0
2019-01-01,SSIC 4645 - Handicrafts & Fancy Goods,1.1.22,517.0
2019-01-01,SSIC 4646 - Medicinal & Pharmaceutical Products,1.1.23,532.0
2019-01-01,"SSIC 4647 - Paper, Paper-Related Products, Stationery, Cellophane Products & Packaging Materials",1.1.24,988.0
2019-01-01,SSIC 4649 - Other Household Goods,1.1.25,453.0
2019-01-01,"SSIC 4651/2 - Computers, Computer Peripheral Equipment & Software, Electronic & Telecommunications Equipment & Parts",1.1.26,2888.0
2019-01-01,"SSIC 46530/46549 - Agricultural Machinery, Equipment & Supplies, Industrial, Construction & Related Machinery & Equipment Nec",1.1.27,847.0
2019-01-01,SSIC 46541 - Industrial Machinery & Equipment (e.g. Industrial Crane),1.1.28,1795.0
2019-01-01,"SSIC 46542/3 - Construction Equipment, Lifts, Escalators & Industrial & Office Air-Conditioning Equipment",1.1.29,241.0
2019-01-01,SSIC 46544 - Electrical & Wiring Accessories,1.1.30,388.0
2019-01-01,SSIC 46551 - Marine Equipment & Accessories,1.1.31,653.0
2019-01-01,"SSIC 46552/9 - Aircraft Equipment & Supplies, Transport Equipment Except Motor Vehicles & Motorcycles Nec",1.1.32,170.0
2019-01-01,"SSIC 4656 - Motor Vehicles, Parts & Accessories",1.1.33,1019.0
2019-01-01,SSIC 46591 - Office Machinery & Equipment,1.1.34,173.0
2019-01-01,"SSIC 46592 - Medical, Professional, Scientific & Precision Equipment",1.1.35,842.0
2019-01-01,"SSIC 46593/4 - Commercial Food Service Equipment, Service Establishment Equipment & Supplies",1.1.36,234.0
2019-01-01,SSIC 46595 - Security & Safety Equipment,1.1.37,231.0
2019-01-01,SSIC 46599 - Other Machinery & Equipment Nec,1.1.38,471.0
2019-01-01,SSIC 4661 - Fuels & Related Products,1.1.39,556.0
2019-01-01,SSIC 46620 - Metals & Metal Ores (e.g. Steel Pipes) Except General Hardware,1.1.40,758.0
2019-01-01,"SSIC 46631 - Logs, Sawn Timber, Plywood & Related Products",1.1.41,308.0
2019-01-01,SSIC 46632 - General Hardware,1.1.42,643.0
2019-01-01,SSIC 46633 - Structural Clay & Concrete Products,1.1.43,180.0
2019-01-01,SSIC 46634/5 - Paints & Glass,1.1.44,147.0
2019-01-01,"SSIC 46639 - Construction Materials, Hardware, Plumbing & Heating Equipment & Supplies Nec",1.1.45,653.0
2019-01-01,SSIC 46641/2 - Basic Industrial Chemicals (Except Fertilisers) & Chemical Fertilisers,1.1.46,301.0
2019-01-01,SSIC 46643 - Petrochemical Products,1.1.47,224.0
2019-01-01,SSIC 46649 - Chemicals & Chemical Products Nec,1.1.48,553.0
2019-01-01,"SSIC 4665 - Other Intermediate Products, Waste & Scrap",1.1.49,350.0
2019-01-01,SSIC 4666 - Ship Chandlers & Ship Bunkering,1.1.50,342.0
2019-01-01,SSIC 46900 - Non-Specialised Wholesale Trade,1.1.51,23305.0
2019-01-01,SSIC 47 - Total Retail Trade,1.2,30775.0
2019-01-01,SSIC 47101 - Supermarkets & Hypermarkets,1.2.1,418.0
2019-01-01,"SSIC 47102 - Mini-Marts, Convenience Stores & Provision Shops",1.2.2,2766.0
2019-01-01,SSIC 47103 - Department Stores,1.2.3,128.0
2019-01-01,SSIC 47109 - Non-Specialised Stores Nec,1.2.4,962.0
2019-01-01,"SSIC 4721/4722/4723 - Food, Beverages & Tobacco Products",1.2.5,3171.0
2019-01-01,SSIC 47311 - Motor Vehicles Except Motorcycles & Scooters,1.2.6,1256.0
2019-01-01,SSIC 47312 - Motorcycles & Scooters,1.2.7,107.0
2019-01-01,"SSIC 47313/47314 - Tyres, Batteries, Spare Parts & Accessories For Motor Vehicles",1.2.8,658.0
2019-01-01,SSIC 47320 - Automotive Fuel,1.2.9,216.0
2019-01-01,"SSIC 4741 - Computers, Peripheral Equipment, Software & Telecommunications Equipment",1.2.10,1356.0
2019-01-01,SSIC 47535 - Household Electrical Appliances & Equipment,1.2.11,604.0
2019-01-01,"SSIC 47510/47531/47532 - Textiles, Furniture & Furnishings",1.2.12,1015.0
2019-01-01,"SSIC 4752 - Hardware, Paints & Glass",1.2.13,467.0
2019-01-01,"SSIC 47533/47534/47536/47539 - Lighting, Lighting Accessories, Crockery, Cutlery, Kitchen Utensils, Security, Safety Equipment & Other Household Articles Nec",1.2.14,695.0
2019-01-01,"SSIC 47610 - Books, Newspapers & Stationery",1.2.15,731.0
2019-01-01,"SSIC 47620/47630/47640/47650 - Music & Video Recordings (e.g. Dvds, Blu-Ray Discs), Sporting Equipment, Games & Toys, Musical Instruments & Scores",1.2.16,1255.0
2019-01-01,"SSIC 47711/47712 - Clothing For Adults, Children & Infants",1.2.17,5019.0
2019-01-01,"SSIC 47713/47714/47715/47719 - Footwear, Bags, Luggage & Travel Accessories, Sewing, Clothing Accessories & Other Clothing, Footwear & Leather Articles Nec",1.2.18,1852.0
2019-01-01,SSIC 47721 - Cosmetics & Toiletries,1.2.19,1287.0
2019-01-01,"SSIC 47722/47723/47729 - Pharmacies, Drug Stores, Chinese Medicine Shops, Pharmaceutical & Medical Goods Nec",1.2.20,868.0
2019-01-01,SSIC 47731 - Jewellery Made From Precious Metals And Stones,1.2.21,832.0
2019-01-01,SSIC 47732 - Costume Jewellery,1.2.22,305.0
2019-01-01,"SSIC 47733/47739 - Watches, Clocks & Personal Effects Nec",1.2.23,602.0
2019-01-01,SSIC 4775 - Optical & Photographic Goods,1.2.24,774.0
2019-01-01,"SSIC 4774/4776/4777 - Handicrafts & Fancy Goods, Flowers, Plants & Pet Animals, Other Goods & Second-Hand Goods",1.2.25,3433.0
2019-01-01,SSIC 49-53 - Total Transportation & Storage,1.3,14181.0
2019-01-01,"SSIC 4910/4921/4922 - Passenger And Freight Rail Transport, Passenger Land Transport & Aerial Cableways",1.3.1,2672.0
2019-01-01,SSIC 49231 - Freight Transport By Road,1.3.2,856.0
2019-01-01,SSIC 49232 - Moving Services,1.3.3,798.0
2019-01-01,SSIC 49233-Rental And Leasing Of Freight Land Transport Vehicle (e.g. Lorries And Trucks) With Driver,1.3.4,111.0
2019-01-01,SSIC 5001 - Passenger Water Transport,1.3.5,114.0
2019-01-01,SSIC 5002 - Freight Water Transport,1.3.6,2233.0
2019-01-01,SSIC 51 - Air Transport,1.3.7,94.0
2019-01-01,SSIC 52101 - General Warehousing,1.3.8,329.0
2019-01-01,SSIC 52102 - Refrigerated Warehousing And Storage,1.3.9,17.0
2019-01-01,SSIC 52103 - Storage For Dangerous Goods,1.3.10,18.0
2019-01-01,"SSIC 52109 - Specialised Storage Nec (e.g. Wine Warehousing, Document Storage And Warehousing)",1.3.11,51.0
2019-01-01,SSIC 52211 - Carpark Management & Operation Services,1.3.12,60.0
2019-01-01,"SSIC 52212/52219 - Motor Vehicle Towing Services, Supporting Services To Land Transport Nec",1.3.13,188.0
2019-01-01,SSIC 5222 - Supporting Services To Water Transport,1.3.14,1947.0
2019-01-01,SSIC 5223 - Supporting Services To Air Transport,1.3.15,123.0
2019-01-01,SSIC 5224 - Cargo Handling,1.3.16,221.0
2019-01-01,SSIC 5225 - Marine Surveying Services & Classification Societies,1.3.17,353.0
2019-01-01,SSIC 5229 - Other Transportation Support Activities,1.3.18,3408.0
2019-01-01,SSIC 53 - Postal & Courier,1.3.19,588.0
2019-01-01,SSIC 55-56 - Total Accommodation & Food Services,1.4,16870.0
2019-01-01,SSIC 55101 - Hotels,1.4.1,443.0
2019-01-01,SSIC 55109/55900 - Other Accommodation,1.4.2,245.0
