date,variable,seriesNo,value
2019,Total Manufacturing,1,337268.0
2020,Total Manufacturing,1,312980.1
2021,Total Manufacturing,1,394111.5
2022,Total Manufacturing,1,461714.4
2023,Total Manufacturing,1,410871.0
2024,Total Manufacturing,1,429583.8
2025,Total Manufacturing,1,479057.1
2019,"Food, Beverage & Tobacco",1.10,10993.0
2020,"Food, Beverage & Tobacco",1.10,10425.0
2021,"Food, Beverage & Tobacco",1.10,11183.8
2022,"Food, Beverage & Tobacco",1.10,13169.2
2023,"Food, Beverage & Tobacco",1.10,12626.0
2024,"Food, Beverage & Tobacco",1.10,16742.9
2025,"Food, Beverage & Tobacco",1.10,16123.4
2019,Textiles & Textile Manufactures,1.13,61.2
2020,Textiles & Textile Manufactures,1.13,37.8
2021,Textiles & Textile Manufactures,1.13,38.5
2022,Textiles & Textile Manufactures,1.13,44.2
2023,Textiles & Textile Manufactures,1.13,45.3
2024,Textiles & Textile Manufactures,1.13,40.2
2025,Textiles & Textile Manufactures,1.13,40.9
2019,Wearing Apparel,1.14,460.3
2020,Wearing Apparel,1.14,467.2
2021,Wearing Apparel,1.14,571.3
2022,Wearing Apparel,1.14,772.4
2023,Wearing Apparel,1.14,548.4
2024,Wearing Apparel,1.14,649.8
2025,Wearing Apparel,1.14,678.2
2019,"Leather, Leather Products & Footwear",1.15,128.1
2020,"Leather, Leather Products & Footwear",1.15,68.2
2021,"Leather, Leather Products & Footwear",1.15,106.0
2022,"Leather, Leather Products & Footwear",1.15,111.2
2023,"Leather, Leather Products & Footwear",1.15,116.7
2024,"Leather, Leather Products & Footwear",1.15,335.4
2025,"Leather, Leather Products & Footwear",1.15,357.5
2019,Wood & Wood Products,1.16,297.1
2020,Wood & Wood Products,1.16,289.0
2021,Wood & Wood Products,1.16,370.3
2022,Wood & Wood Products,1.16,460.7
2023,Wood & Wood Products,1.16,417.6
2024,Wood & Wood Products,1.16,428.1
2025,Wood & Wood Products,1.16,429.4
2019,Paper & Paper Products,1.17,1111.3
2020,Paper & Paper Products,1.17,1041.9
2021,Paper & Paper Products,1.17,1183.5
2022,Paper & Paper Products,1.17,1207.6
2023,Paper & Paper Products,1.17,1065.4
2024,Paper & Paper Products,1.17,746.4
2025,Paper & Paper Products,1.17,494.3
2019,Printing & Reproduction Of Recorded Media,1.18,1094.1
2020,Printing & Reproduction Of Recorded Media,1.18,920.0
2021,Printing & Reproduction Of Recorded Media,1.18,870.1
2022,Printing & Reproduction Of Recorded Media,1.18,868.1
2023,Printing & Reproduction Of Recorded Media,1.18,878.1
2024,Printing & Reproduction Of Recorded Media,1.18,878.9
2025,Printing & Reproduction Of Recorded Media,1.18,917.0
2019,Refined Petroleum Products,1.19,38438.8
2020,Refined Petroleum Products,1.19,21996.1
2021,Refined Petroleum Products,1.19,35193.3
2022,Refined Petroleum Products,1.19,53032.0
2023,Refined Petroleum Products,1.19,43158.0
2024,Refined Petroleum Products,1.19,42595.8
2025,Refined Petroleum Products,1.19,38706.6
2019,Chemicals & Chemical Products,1.20,48730.4
2020,Chemicals & Chemical Products,1.20,41728.2
2021,Chemicals & Chemical Products,1.20,59727.7
2022,Chemicals & Chemical Products,1.20,64035.8
2023,Chemicals & Chemical Products,1.20,51393.5
2024,Chemicals & Chemical Products,1.20,51966.2
2025,Chemicals & Chemical Products,1.20,48816.4
2019,Pharmaceutical & Biological Products,1.21,14798.3
2020,Pharmaceutical & Biological Products,1.21,17178.2
2021,Pharmaceutical & Biological Products,1.21,18137.0
2022,Pharmaceutical & Biological Products,1.21,19182.2
2023,Pharmaceutical & Biological Products,1.21,18717.7
2024,Pharmaceutical & Biological Products,1.21,12139.9
2025,Pharmaceutical & Biological Products,1.21,15351.6
2019,Rubber & Plastic Products,1.22,1940.9
2020,Rubber & Plastic Products,1.22,1945.3
2021,Rubber & Plastic Products,1.22,2215.4
2022,Rubber & Plastic Products,1.22,2356.3
2023,Rubber & Plastic Products,1.22,2216.0
2024,Rubber & Plastic Products,1.22,2288.9
2025,Rubber & Plastic Products,1.22,2261.6
2019,Non-Metallic Mineral Products,1.23,1688.3
2020,Non-Metallic Mineral Products,1.23,1171.5
2021,Non-Metallic Mineral Products,1.23,1660.4
2022,Non-Metallic Mineral Products,1.23,1840.3
2023,Non-Metallic Mineral Products,1.23,1975.9
2024,Non-Metallic Mineral Products,1.23,2021.4
2025,Non-Metallic Mineral Products,1.23,1996.6
2019,Basic Metal,1.24,1262.9
2020,Basic Metal,1.24,1157.4
2021,Basic Metal,1.24,1706.7
2022,Basic Metal,1.24,1740.7
2023,Basic Metal,1.24,1507.6
2024,Basic Metal,1.24,1432.6
2025,Basic Metal,1.24,1540.1
2019,Fabricated Metal Products,1.25,7978.8
2020,Fabricated Metal Products,1.25,7315.4
2021,Fabricated Metal Products,1.25,8154.2
2022,Fabricated Metal Products,1.25,9293.5
2023,Fabricated Metal Products,1.25,8399.8
2024,Fabricated Metal Products,1.25,8221.3
2025,Fabricated Metal Products,1.25,8620.6
2019,"Computer, Electronic & Optical Products",1.26,141141.9
2020,"Computer, Electronic & Optical Products",1.26,143659.0
2021,"Computer, Electronic & Optical Products",1.26,176993.9
2022,"Computer, Electronic & Optical Products",1.26,205983.4
2023,"Computer, Electronic & Optical Products",1.26,178706.4
2024,"Computer, Electronic & Optical Products",1.26,192759.3
2025,"Computer, Electronic & Optical Products",1.26,231537.2
2019,Electrical Equipment,1.27,3841.4
2020,Electrical Equipment,1.27,3558.4
2021,Electrical Equipment,1.27,3969.4
2022,Electrical Equipment,1.27,4507.8
2023,Electrical Equipment,1.27,3972.7
2024,Electrical Equipment,1.27,3830.8
2025,Electrical Equipment,1.27,3690.0
2019,Machinery & Equipment,1.28,28212.8
2020,Machinery & Equipment,1.28,27791.6
2021,Machinery & Equipment,1.28,35823.2
2022,Machinery & Equipment,1.28,42056.7
2023,Machinery & Equipment,1.28,40808.8
2024,Machinery & Equipment,1.28,43592.2
2025,Machinery & Equipment,1.28,50008.8
2019,"Motor Vehicles, Trailers & Semi-Trailers",1.29,1448.3
2020,"Motor Vehicles, Trailers & Semi-Trailers",1.29,1273.8
2021,"Motor Vehicles, Trailers & Semi-Trailers",1.29,1430.9
2022,"Motor Vehicles, Trailers & Semi-Trailers",1.29,1426.0
2023,"Motor Vehicles, Trailers & Semi-Trailers",1.29,1570.6
2024,"Motor Vehicles, Trailers & Semi-Trailers",1.29,1401.1
2025,"Motor Vehicles, Trailers & Semi-Trailers",1.29,1264.6
2019,Other Transport Equipment,1.30,17623.2
2020,Other Transport Equipment,1.30,14258.8
2021,Other Transport Equipment,1.30,15572.9
2022,Other Transport Equipment,1.30,18946.1
2023,Other Transport Equipment,1.30,22618.3
2024,Other Transport Equipment,1.30,26764.0
2025,Other Transport Equipment,1.30,35010.5
2019,Furniture,1.31,780.9
2020,Furniture,1.31,597.4
2021,Furniture,1.31,718.8
2022,Furniture,1.31,738.9
2023,Furniture,1.31,756.6
2024,Furniture,1.31,659.2
2025,Furniture,1.31,656.1
2019,Other Manufacturing Industries,1.32,15235.8
2020,Other Manufacturing Industries,1.32,16100.0
2021,Other Manufacturing Industries,1.32,18484.4
2022,Other Manufacturing Industries,1.32,19941.2
2023,Other Manufacturing Industries,1.32,19371.6
2024,Other Manufacturing Industries,1.32,20089.5
2025,Other Manufacturing Industries,1.32,20555.6
