date,country,indicator,value
2000,SGP,NY.GDP.MKTP.KD.ZG,9.03831632555163
2001,SGP,NY.GDP.MKTP.KD.ZG,-1.07086275100448
2002,SGP,NY.GDP.MKTP.KD.ZG,3.92336076702013
2003,SGP,NY.GDP.MKTP.KD.ZG,4.54825542643229
2004,SGP,NY.GDP.MKTP.KD.ZG,9.93998268434957
2005,SGP,NY.GDP.MKTP.KD.ZG,7.36632239250758
2006,SGP,NY.GDP.MKTP.KD.ZG,9.00676607871758
2007,SGP,NY.GDP.MKTP.KD.ZG,9.02151951268893
2008,SGP,NY.GDP.MKTP.KD.ZG,1.86348345462035
2009,SGP,NY.GDP.MKTP.KD.ZG,0.127953382778088
2010,SGP,NY.GDP.MKTP.KD.ZG,14.5197497108994
2011,SGP,NY.GDP.MKTP.KD.ZG,6.21493416858989
2012,SGP,NY.GDP.MKTP.KD.ZG,4.43549759378537
2013,SGP,NY.GDP.MKTP.KD.ZG,4.81763099120676
2014,SGP,NY.GDP.MKTP.KD.ZG,3.93554027709007
2015,SGP,NY.GDP.MKTP.KD.ZG,2.97679931634806
2016,SGP,NY.GDP.MKTP.KD.ZG,3.74757848792792
2017,SGP,NY.GDP.MKTP.KD.ZG,4.47689915845876
2018,SGP,NY.GDP.MKTP.KD.ZG,3.4519759658687
2019,SGP,NY.GDP.MKTP.KD.ZG,1.30804118153127
2020,SGP,NY.GDP.MKTP.KD.ZG,-3.81470885510713
2021,SGP,NY.GDP.MKTP.KD.ZG,9.7568044629903
2022,SGP,NY.GDP.MKTP.KD.ZG,4.10800021897151
2023,SGP,NY.GDP.MKTP.KD.ZG,1.82140694115385
2024,SGP,NY.GDP.MKTP.KD.ZG,4.38802362461865
