date,country,indicator,value
2000,SGP,NV.IND.MANF.ZS,25.8614860377559
2001,SGP,NV.IND.MANF.ZS,23.3946978474146
2002,SGP,NV.IND.MANF.ZS,24.7376403229729
2003,SGP,NV.IND.MANF.ZS,24.7654126931969
2004,SGP,NV.IND.MANF.ZS,27.1193675970643
2005,SGP,NV.IND.MANF.ZS,27.0767617982071
2006,SGP,NV.IND.MANF.ZS,26.5780059858028
2007,SGP,NV.IND.MANF.ZS,23.8226519045272
2008,SGP,NV.IND.MANF.ZS,20.5856649738484
2009,SGP,NV.IND.MANF.ZS,20.2733764290735
2010,SGP,NV.IND.MANF.ZS,20.7738330253125
2011,SGP,NV.IND.MANF.ZS,19.5825515079778
2012,SGP,NV.IND.MANF.ZS,19.1168219800662
2013,SGP,NV.IND.MANF.ZS,17.6384096148755
2014,SGP,NV.IND.MANF.ZS,17.9997688921285
2015,SGP,NV.IND.MANF.ZS,18.0893298548734
2016,SGP,NV.IND.MANF.ZS,17.441961312599
2017,SGP,NV.IND.MANF.ZS,18.545847537786
2018,SGP,NV.IND.MANF.ZS,20.7178457667812
2019,SGP,NV.IND.MANF.ZS,19.4040313019103
2020,SGP,NV.IND.MANF.ZS,19.6539845250362
2021,SGP,NV.IND.MANF.ZS,20.6330680035618
2022,SGP,NV.IND.MANF.ZS,19.6555376499378
2023,SGP,NV.IND.MANF.ZS,16.9755594437794
2024,SGP,NV.IND.MANF.ZS,16.3327049348535
